iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,2.193831,1.408237,0.073532,0.001282,1.482939,30.091895,15.523005,56.930856,2.325236,3.052300,0.002634,7.578763,8.208273
2,0,0.023770,1.127063,0.080137,0.002387,1.209419,6.707344,13.034888,31.908242,0.371964,0.640923,0.002978,10.223675,10.582933
3,0,0.022102,1.142170,0.076751,0.001194,1.186070,5.669863,15.782689,31.169245,0.208916,0.577941,0.002929,8.239153,8.486414
4,0,0.025912,1.515689,0.083310,0.002144,1.584976,5.840430,14.773567,31.231388,0.314032,0.969644,0.002908,8.665454,9.072755
5,0,0.023867,1.419629,0.090785,0.001860,1.481497,7.684771,16.586386,31.209734,0.310288,1.112900,0.002348,5.118087,6.052598
6,0,0.025758,1.121759,0.072121,0.001850,1.188934,6.145364,15.156235,30.768556,0.270916,0.808811,0.002520,7.934494,8.330458
7,0,0.026882,1.158126,0.171559,0.001405,1.232607,4.813888,15.114092,30.765702,0.314761,0.852491,0.002695,9.093465,9.583618
8,0,0.023898,1.202754,0.094399,0.002330,1.292356,6.271572,13.185806,31.639767,0.267798,0.891529,0.003111,10.458550,10.737787
9,0,0.024772,0.939616,0.051767,0.000762,0.983814,8.870496,15.824779,30.820662,0.271427,0.624681,0.001768,4.831588,5.676226
10,0,0.025116,0.930385,0.071620,0.000696,0.988795,9.601898,16.087968,31.895459,0.194899,0.640727,0.002147,5.006022,5.538753
11,0,0.020203,1.013852,0.060552,0.000748,1.065562,7.146422,15.549020,30.429434,0.214139,0.736587,0.003277,6.427121,7.291549
12,0,0.017827,0.952604,0.044301,0.001014,0.978497,9.151274,15.973557,31.208315,0.233989,0.564449,0.002173,4.800602,5.491707
13,0,0.028072,1.433419,0.059213,0.002686,1.493322,6.478306,10.775814,31.008317,0.426223,1.044401,0.002666,11.855095,12.494481
14,0,0.020204,1.120500,0.086191,0.001622,1.207382,8.097386,16.046954,31.310684,0.306099,0.789945,0.002214,5.653390,6.696521
15,0,0.029385,1.053255,0.070058,0.001674,1.124987,7.479084,13.758276,30.932447,0.282106,0.662606,0.003510,8.203272,8.499416
16,0,0.021852,1.103941,0.065251,0.001377,1.160237,8.426130,16.543327,31.933371,0.196297,0.743170,0.002423,5.557692,6.173013
17,0,0.022287,1.319753,0.062643,0.001248,1.382904,6.378007,15.813618,30.580603,0.222335,0.961854,0.002419,6.675805,7.411893
18,0,0.023695,1.064157,0.055136,0.001435,1.120728,5.997314,13.293755,30.938993,0.198299,0.797374,0.002868,10.240953,10.451170
19,0,0.017329,0.854761,0.045908,0.000612,0.901281,7.684343,15.813775,29.953619,0.204384,0.600749,0.002330,5.291422,5.989437
20,0,0.023173,0.974608,0.046296,0.001509,1.022413,7.345524,15.648749,31.737450,0.223245,0.532457,0.002383,7.421321,7.652919
21,0,0.025843,1.099414,0.056449,0.001575,1.144403,7.494276,11.293119,30.825546,0.196277,0.617585,0.002825,10.604758,10.813577
22,0,0.018273,1.323517,0.060569,0.000828,1.384775,6.704820,15.827270,30.982717,0.221785,0.958318,0.002496,6.762002,7.764794
23,0,0.023559,1.090487,0.063516,0.001778,1.154310,4.427318,15.804551,31.386536,0.228755,0.824522,0.002511,9.684406,9.888114
24,0,0.020969,1.259895,0.049413,0.000702,1.309846,7.959908,15.765844,31.332421,0.208820,0.976286,0.002699,6.052901,6.667471
25,0,0.025381,1.307287,0.061582,0.000751,1.368872,7.999893,15.994724,31.528532,0.334910,1.033681,0.002781,5.779347,6.651518
26,0,0.027309,0.957357,0.041681,0.001155,1.000193,5.841432,16.490245,30.986801,0.312287,0.690606,0.002306,7.365976,7.587766
27,0,0.023154,0.986156,0.066344,0.001792,1.054292,6.178219,15.805263,30.677130,0.317759,0.714427,0.002422,7.251672,7.572919
28,0,0.024296,1.018198,0.061127,0.001917,1.079537,8.591726,15.576779,32.353103,0.204439,0.730797,0.002287,6.815834,7.029255
29,0,0.023858,1.353525,0.078972,0.001995,1.414343,4.376747,15.618401,30.775316,0.224167,1.007610,0.001723,9.042070,9.267779
30,0,0.018315,1.203654,0.064872,0.001492,1.252846,8.939931,15.573904,31.099152,0.232864,0.901422,0.001755,5.071152,5.807026
31,0,0.038136,1.001228,0.048430,0.000768,1.050236,9.221895,15.876581,31.270144,0.247424,0.672119,0.002165,4.840267,5.661803
32,0,0.019216,1.044889,0.060229,0.001189,1.103757,9.573668,15.856923,31.487539,0.193796,0.843051,0.003259,4.733221,5.640320
33,0,0.024984,1.030967,0.058982,0.001193,1.071236,7.866246,14.926806,30.455151,0.216338,0.698787,0.002081,6.323099,6.560214
34,0,0.022708,1.337731,0.066174,0.000991,1.388250,9.554208,15.947212,32.035835,0.208367,1.125997,0.002186,4.868410,5.809418
35,0,0.022331,0.719047,0.041584,0.000930,0.750545,8.426731,15.859332,31.085811,0.179980,0.403696,0.001654,5.551334,5.759177
36,0,0.075775,1.188651,0.050874,0.000671,1.238399,8.579867,15.832302,30.836171,0.208180,0.958474,0.002003,4.954387,5.571759
37,0,0.017736,1.197495,0.052200,0.001757,1.247049,9.356311,15.909210,31.417970,0.206021,0.522542,0.002180,4.665235,4.809881
38,0,0.020795,1.086166,0.064021,0.001241,1.150826,8.820940,15.785817,30.779970,0.214160,0.795678,0.002158,4.807581,5.759136
39,0,0.020173,1.016226,0.045423,0.001246,1.062895,8.663498,15.953367,30.850229,0.198301,0.725324,0.002283,4.941005,5.131637
40,0,0.023864,0.966346,0.062521,0.001638,1.030505,8.720282,16.692926,31.992660,0.212718,0.558251,0.002449,5.270825,5.488591
41,0,0.022531,1.181393,0.065194,0.001449,1.233124,8.421317,15.544235,30.709974,0.216831,0.945911,0.002458,5.176554,5.519427
42,0,0.023113,1.160112,0.066302,0.001735,1.203528,7.353657,16.397149,31.422133,0.216989,0.894707,0.002192,6.144039,6.349772
43,0,0.022675,1.073837,0.063062,0.001481,1.128960,6.853106,16.697154,31.274031,0.207496,0.750920,0.002266,6.301146,6.530752
44,0,0.020796,1.158909,0.046965,0.000678,1.206023,7.922937,16.450695,31.031141,0.201872,0.834008,0.002328,5.198347,5.395124
45,0,0.020167,1.352983,0.050665,0.000892,1.404540,7.576722,15.758213,30.398650,0.214368,1.033780,0.002548,5.406162,6.082401
46,0,0.018240,0.947501,0.058316,0.000989,1.006374,6.643648,15.409726,31.251773,0.203582,0.696977,0.002447,7.935352,8.762347
47,0,0.019240,0.907228,0.045146,0.000685,0.952916,9.127557,16.809968,32.052456,0.209628,0.604223,0.002336,4.893918,5.596078
48,0,0.018937,1.254058,0.053150,0.001128,1.307697,8.873804,15.848284,31.071359,0.198553,1.065570,0.001809,4.805607,4.970259
49,0,0.020857,1.062712,0.061000,0.001405,1.102494,8.268323,16.569845,31.042669,0.226065,0.779811,0.001499,4.846001,4.977837
50,0,0.022895,1.114271,0.056734,0.001258,1.138590,8.052407,15.597168,29.842160,0.228786,0.894198,0.001596,4.735108,4.971942
51,0,0.023124,1.008512,0.056553,0.001346,1.057798,7.644723,16.379377,31.532077,0.210828,0.746470,0.001716,6.171533,6.383252
52,0,0.017816,1.075795,0.041852,0.000754,1.118127,8.905409,15.835121,30.915445,0.173613,0.828132,0.001725,4.840308,5.203818
53,0,0.024429,0.700364,0.051602,0.000654,0.752541,8.293690,15.707928,30.712271,0.160659,0.707971,0.001780,5.449547,5.562135
54,0,0.020502,0.667058,0.037043,0.000977,0.704586,9.706803,15.958801,31.422261,0.170637,0.400021,0.001940,4.742455,4.856795
55,0,0.022789,1.049957,0.070361,0.001886,1.111240,8.849429,15.582298,30.963740,0.272551,0.725635,0.002097,5.140667,5.880741
56,0,0.021484,1.034269,0.067087,0.001398,1.090844,7.005382,15.366113,31.288611,0.207502,0.752341,0.017927,7.552511,7.769585
57,0,0.020802,0.892986,0.043302,0.000970,0.935468,8.699096,16.878663,31.829134,0.198090,0.522960,0.001584,5.081650,5.359036
58,0,0.028538,1.131431,0.047412,0.001351,1.180194,5.305046,15.505993,30.092514,0.295022,0.702091,0.001926,7.745379,8.035441
