metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,716,19.025296,0.026572,0.006482,1.789484
ants_advance,716,4504.681574,6.291455,4.841015,14.078047
evaporation,716,40.612860,0.056722,0.029295,2.346179
update,716,1.426292,0.001992,0.000663,0.059047
advance_total,716,4532.549066,6.330376,4.874832,14.177533
render,716,35786.810042,49.981578,20.215455,132.359281
blit,716,6156.424429,8.598358,0.489044,16.891952
iteration_total,716,53975.872771,75.385297,45.144317,155.750605
mpi_halo_exchange,716,179.221856,0.250310,0.124716,11.606160
mpi_migration,716,3033.264096,4.236402,1.716604,15.508528
mpi_food_allreduce,716,2.117823,0.002958,0.001317,0.086685
mpi_render_comm,716,7109.084111,9.928888,6.136645,40.482690
mpi_total_comm,716,8678.054149,12.120187,7.423161,42.247617

meta_key,meta_value
total_iterations,716
measured_iterations,716
final_food_quantity,20
first_food_iteration,706
