metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,860,0.000000,0.000000,0.000000,0.000000
ants_advance,860,1643.484405,1.911028,1.234041,3.125863
evaporation,860,65.428544,0.076080,0.022644,0.234144
update,860,1.087412,0.001264,0.000592,0.036980
advance_total,860,1696.997270,1.973253,1.255872,3.247502
render,860,0.000000,0.000000,0.000000,0.000000
blit,860,0.000000,0.000000,0.000000,0.000000
iteration_total,860,1828.639686,2.126325,1.335794,4.866899
mpi_halo_exchange,860,10.983068,0.012771,0.006491,0.293898
mpi_migration,860,1170.586990,1.361148,0.462639,3.874650
mpi_food_allreduce,860,59.968989,0.069731,0.006680,0.295187
mpi_render_comm,860,0.000000,0.000000,0.000000,0.000000
mpi_total_comm,860,1228.559947,1.428558,0.472646,3.898108

meta_key,meta_value
total_iterations,860
measured_iterations,860
final_food_quantity,2
first_food_iteration,850
