metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,1614,0.000000,0.000000,0.000000,0.000000
ants_advance,1614,663.208221,0.410910,0.274720,1.653463
evaporation,1614,138.810524,0.086004,0.020904,0.869469
update,1614,1.990577,0.001233,0.000462,0.026960
advance_total,1614,778.874841,0.482574,0.295498,1.675566
render,1614,0.000000,0.000000,0.000000,0.000000
blit,1614,0.000000,0.000000,0.000000,0.000000
iteration_total,1614,932.298589,0.577632,0.368052,2.417085
mpi_halo_exchange,1614,20.600261,0.012763,0.005987,0.569512
mpi_migration,1614,500.921130,0.310360,0.126736,1.989023
mpi_food_allreduce,1614,132.823465,0.082295,0.007649,1.089800
mpi_render_comm,1614,0.000000,0.000000,0.000000,0.000000
mpi_total_comm,1614,639.793939,0.396403,0.137253,2.022944

meta_key,meta_value
total_iterations,1614
measured_iterations,1614
final_food_quantity,1
first_food_iteration,1604
