metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,2572,0.000000,0.000000,0.000000,0.000000
ants_advance,2572,520.953617,0.202548,0.128887,0.553635
evaporation,2572,226.532004,0.088076,0.019871,0.222851
update,2572,2.940430,0.001143,0.000514,0.076302
advance_total,2572,719.863571,0.279885,0.155063,0.563889
render,2572,0.000000,0.000000,0.000000,0.000000
blit,2572,0.000000,0.000000,0.000000,0.000000
iteration_total,2572,905.809071,0.352181,0.198934,0.884423
mpi_halo_exchange,2572,28.938587,0.011251,0.005790,0.209243
mpi_migration,2572,421.698892,0.163958,0.075569,0.606080
mpi_food_allreduce,2572,210.919567,0.082006,0.010235,0.235796
mpi_render_comm,2572,0.000000,0.000000,0.000000,0.000000
mpi_total_comm,2572,644.767793,0.250687,0.105104,0.655365

meta_key,meta_value
total_iterations,2572
measured_iterations,2572
final_food_quantity,1
first_food_iteration,2562
