metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,849,16.988581,0.020010,0.007408,2.317316
ants_advance,849,1345.522242,1.584832,0.925593,2.591032
evaporation,849,43.512700,0.051252,0.029695,0.243930
update,849,1.076150,0.001268,0.000531,0.117560
advance_total,849,1385.358327,1.631753,0.951055,2.650680
render,849,16483.685508,19.415413,4.642282,62.438462
blit,849,9676.981789,11.398094,0.460291,16.897999
iteration_total,849,32613.598523,38.414133,15.871399,78.797171
mpi_halo_exchange,849,173.648145,0.204533,0.148244,2.447792
mpi_migration,849,877.474013,1.033538,0.310621,3.519269
mpi_food_allreduce,849,2.040183,0.002403,0.001009,0.135337
mpi_render_comm,849,4844.125081,5.705683,4.255318,10.231632
mpi_total_comm,849,5308.779848,6.252980,4.418213,11.662370

meta_key,meta_value
total_iterations,849
measured_iterations,849
final_food_quantity,1
first_food_iteration,839
