metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,860,0.000000,0.000000,0.000000,0.000000
ants_advance,860,6431.570041,7.478570,4.643328,12.242743
evaporation,860,62.437091,0.072601,0.027275,0.391212
update,860,1.149852,0.001337,0.000654,0.079079
advance_total,860,6482.260594,7.537512,4.678775,12.293760
render,860,0.000000,0.000000,0.000000,0.000000
blit,860,0.000000,0.000000,0.000000,0.000000
iteration_total,860,6754.427962,7.853986,5.113125,12.764374
mpi_halo_exchange,860,20.680495,0.024047,0.010843,0.179407
mpi_migration,860,3879.773659,4.511365,1.078059,9.426637
mpi_food_allreduce,860,53.224805,0.061889,0.002061,0.617954
mpi_render_comm,860,0.000000,0.000000,0.000000,0.000000
mpi_total_comm,860,3937.858995,4.578906,1.105387,9.596278

meta_key,meta_value
total_iterations,860
measured_iterations,860
final_food_quantity,9
first_food_iteration,850
