iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,0.000000,0.792500,0.089828,0.001514,0.854005,0.000000,0.000000,1.019418,0.045321,0.170059,0.031946,0.000000,0.217041
2,0,0.000000,0.546600,0.097593,0.002271,0.646464,0.000000,0.000000,0.792419,0.034966,0.185924,0.051020,0.000000,0.271910
3,0,0.000000,0.592919,0.067938,0.001949,0.662806,0.000000,0.000000,0.785345,0.053892,0.128730,0.022122,0.000000,0.192037
4,0,0.000000,0.498492,0.067698,0.001649,0.567839,0.000000,0.000000,0.618583,0.017292,0.093282,0.001746,0.000000,0.110895
5,0,0.000000,0.493794,0.066972,0.001919,0.562378,0.000000,0.000000,0.609896,0.017232,0.173512,0.012013,0.000000,0.191963
6,0,0.000000,0.514919,0.057602,0.000973,0.573349,0.000000,0.000000,0.666961,0.017143,0.188615,0.000994,0.000000,0.204422
7,0,0.000000,0.382837,0.055694,0.000910,0.431140,0.000000,0.000000,0.479556,0.018396,0.087177,0.000711,0.000000,0.102831
8,0,0.000000,0.528204,0.067984,0.001445,0.597633,0.000000,0.000000,0.634279,0.013367,0.234325,0.000992,0.000000,0.245401
9,0,0.000000,0.584271,0.066020,0.001507,0.651705,0.000000,0.000000,0.713519,0.024186,0.228156,0.001102,0.000000,0.253234
10,0,0.000000,0.539546,0.066808,0.001676,0.604708,0.000000,0.000000,0.651200,0.016751,0.263909,0.000849,0.000000,0.280360
11,0,0.000000,0.514224,0.065581,0.001638,0.580472,0.000000,0.000000,0.625329,0.015824,0.263077,0.000874,0.000000,0.276417
12,0,0.000000,0.532517,0.068240,0.001575,0.601329,0.000000,0.000000,0.672833,0.015468,0.291988,0.002084,0.000000,0.305844
13,0,0.000000,0.517156,0.062343,0.002018,0.576432,0.000000,0.000000,0.650452,0.018779,0.257181,0.001146,0.000000,0.273361
14,0,0.000000,0.502911,0.080271,0.001809,0.581700,0.000000,0.000000,0.638102,0.015110,0.254120,0.008255,0.000000,0.266358
15,0,0.000000,0.605618,0.084121,0.001662,0.687556,0.000000,0.000000,0.725941,0.014324,0.329094,0.000924,0.000000,0.341525
