metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,1056,0.000000,0.000000,0.000000,0.000000
ants_advance,1056,4676.077013,4.428103,3.157515,13.939674
evaporation,1056,174.464259,0.165212,0.093165,0.298496
update,1056,4.936125,0.004674,0.003536,0.062943
advance_total,1056,4855.477397,4.597990,3.254273,14.175825
render,1056,0.000000,0.000000,0.000000,0.000000
blit,1056,0.000000,0.000000,0.000000,0.000000
iteration_total,1056,4881.715021,4.622836,3.265250,14.212868
mpi_halo_exchange,1056,11.623313,0.011007,0.006956,0.091063
mpi_migration,1056,0.000000,0.000000,0.000000,0.000000
mpi_food_allreduce,1056,1.480477,0.001402,0.000325,0.032632
mpi_render_comm,1056,0.000000,0.000000,0.000000,0.000000
mpi_total_comm,1056,13.103790,0.012409,0.007345,0.092132

meta_key,meta_value
total_iterations,1056
measured_iterations,1056
final_food_quantity,1
first_food_iteration,1046
