metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,628,0.000000,0.000000,0.000000,0.000000
ants_advance,628,4237.322000,6.747328,0.000000,25.813000
mpi_pheromone_sync,628,3302.448000,5.258675,0.000000,26.604000
evaporation,628,111.542000,0.177615,0.000000,4.096000
mpi_evaporation_sync,628,2784.636000,4.434134,0.000000,19.739000
update,628,861.804000,1.372299,0.000000,6.883000
advance_total,628,11297.752000,17.990051,5.623000,68.689000
mpi_food_sync,628,168.058000,0.267608,0.000000,11.333000
mpi_gather,628,252.901000,0.402709,0.000000,5.550000
render,628,0.000000,0.000000,0.000000,0.000000
blit,628,0.000000,0.000000,0.000000,0.000000
iteration_total,628,11722.387000,18.666221,8.714000,80.616000

meta_key,meta_value
total_iterations,628
measured_iterations,628
final_food_quantity,2
first_food_iteration,618
