metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,543,0.000000,0.000000,0.000000,0.000000
ants_advance,543,10436.728000,19.220494,10.605000,32.926000
mpi_pheromone_sync,543,2851.948000,5.252206,0.000000,23.475000
evaporation,543,86.771000,0.159799,0.000000,5.540000
mpi_evaporation_sync,543,1944.716000,3.581429,0.000000,17.819000
update,543,527.870000,0.972136,0.000000,6.061000
advance_total,543,15848.033000,29.186064,16.186000,55.384000
mpi_food_sync,543,96.810000,0.178287,0.000000,6.538000
mpi_gather,543,675.954000,1.244851,0.000000,7.103000
render,543,0.000000,0.000000,0.000000,0.000000
blit,543,0.000000,0.000000,0.000000,0.000000
iteration_total,543,16623.397000,30.613991,19.859000,59.795000

meta_key,meta_value
total_iterations,543
measured_iterations,543
final_food_quantity,3
first_food_iteration,533
