iteration,food_quantity,event_poll_ms,ants_advance_ms,mpi_pheromone_sync_ms,evaporation_ms,mpi_evaporation_sync_ms,update_ms,advance_total_ms,mpi_food_sync_ms,mpi_gather_ms,render_ms,blit_ms,iteration_total_ms
49,0,0.000000,29.998000,0.000000,1.641000,0.000000,0.000000,31.639000,0.000000,0.585000,0.000000,0.000000,32.224000
50,0,0.000000,32.404000,0.000000,0.000000,0.000000,0.000000,32.404000,0.000000,0.000000,0.000000,0.000000,32.404000
51,0,0.000000,31.402000,0.000000,1.117000,0.000000,0.000000,32.519000,0.000000,0.630000,0.000000,0.000000,33.149000
52,0,0.000000,32.294000,0.000000,0.000000,0.000000,0.000000,32.294000,0.000000,1.014000,0.000000,0.000000,33.308000
53,0,0.000000,35.105000,0.000000,0.000000,0.000000,0.000000,35.105000,0.000000,2.619000,0.000000,0.000000,37.724000
54,0,0.000000,31.962000,0.000000,0.000000,0.000000,0.000000,31.962000,0.000000,1.613000,0.000000,0.000000,33.575000
55,0,0.000000,32.331000,0.000000,0.000000,0.000000,0.000000,32.331000,0.000000,0.000000,0.000000,0.000000,32.331000
56,0,0.000000,35.615000,0.000000,0.543000,0.000000,0.000000,36.158000,0.000000,0.000000,0.000000,0.000000,36.158000
57,0,0.000000,31.559000,0.000000,0.000000,0.000000,0.000000,31.559000,0.000000,5.411000,0.000000,0.000000,36.970000
58,0,0.000000,32.912000,0.000000,0.000000,0.000000,0.000000,32.912000,0.000000,0.000000,0.000000,0.000000,32.912000
59,0,0.000000,33.207000,0.000000,0.000000,0.000000,0.000000,33.207000,0.000000,0.000000,0.000000,0.000000,33.207000
60,0,0.000000,33.565000,0.000000,0.000000,0.000000,0.000000,33.565000,0.000000,0.000000,0.000000,0.000000,33.565000
61,0,0.000000,33.880000,0.000000,0.000000,0.000000,1.012000,34.892000,0.000000,0.000000,0.000000,0.000000,34.892000
62,0,0.000000,30.558000,0.000000,0.000000,0.000000,0.000000,30.558000,0.000000,0.000000,0.000000,0.000000,30.558000
63,0,0.000000,32.741000,0.000000,0.000000,0.535000,0.000000,33.276000,0.000000,0.645000,0.000000,0.000000,33.921000
64,0,0.000000,32.419000,0.000000,0.000000,0.000000,0.000000,32.419000,0.000000,1.557000,0.000000,0.000000,33.976000
65,0,0.000000,34.687000,0.000000,0.000000,0.000000,0.000000,34.687000,0.000000,1.034000,0.000000,0.000000,35.721000
66,0,0.000000,33.611000,0.000000,0.000000,0.000000,0.000000,33.611000,0.000000,0.000000,0.000000,0.000000,33.611000
