metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,1852,0.000000,0.000000,0.000000,0.000000
ants_advance,1852,2431.212000,1.312749,0.000000,9.663000
mpi_pheromone_sync,1852,75.688000,0.040868,0.000000,6.814000
evaporation,1852,531.254000,0.286854,0.000000,8.667000
mpi_evaporation_sync,1852,73.868000,0.039886,0.000000,6.938000
update,1852,418.897000,0.226186,0.000000,9.157000
advance_total,1852,3530.919000,1.906544,0.000000,10.443000
mpi_food_sync,1852,5.368000,0.002898,0.000000,1.659000
mpi_gather,1852,69.625000,0.037594,0.000000,8.405000
render,1852,0.000000,0.000000,0.000000,0.000000
blit,1852,0.000000,0.000000,0.000000,0.000000
iteration_total,1852,3605.912000,1.947037,0.000000,10.443000

meta_key,meta_value
total_iterations,1852
measured_iterations,1852
final_food_quantity,1
first_food_iteration,1842
