iteration,food_quantity,event_poll_ms,ants_advance_ms,mpi_pheromone_sync_ms,evaporation_ms,mpi_evaporation_sync_ms,update_ms,advance_total_ms,mpi_food_sync_ms,mpi_gather_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.000000,7.056000,4.541000,0.000000,2.031000,0.527000,14.155000,0.000000,0.000000,0.000000,0.000000,14.155000
2,0,0.000000,5.271000,2.094000,0.621000,0.642000,1.016000,9.644000,0.000000,0.000000,0.000000,0.000000,10.888000
3,0,0.000000,7.214000,3.511000,0.000000,0.508000,1.534000,12.767000,0.000000,0.000000,0.000000,0.000000,12.767000
4,0,0.000000,9.178000,2.051000,0.965000,0.514000,1.012000,13.720000,0.000000,0.000000,0.000000,0.000000,13.720000
5,0,0.000000,10.592000,1.113000,1.025000,1.489000,0.519000,14.738000,0.000000,0.000000,0.000000,0.000000,14.738000
6,0,0.000000,7.581000,4.238000,0.607000,1.555000,0.000000,13.981000,0.000000,0.000000,0.000000,0.000000,13.981000
7,0,0.000000,6.582000,2.106000,0.000000,1.322000,1.030000,11.040000,0.000000,0.000000,0.000000,0.000000,11.040000
8,0,0.000000,6.640000,1.485000,0.000000,2.007000,0.000000,10.132000,0.000000,0.000000,0.000000,0.000000,10.132000
9,0,0.000000,5.635000,1.008000,1.621000,1.152000,0.000000,9.416000,0.000000,0.000000,0.000000,0.000000,10.416000
10,0,0.000000,6.504000,2.126000,0.891000,0.608000,1.032000,11.161000,0.000000,0.000000,0.000000,0.000000,11.161000
11,0,0.000000,8.137000,1.521000,0.000000,1.524000,1.009000,12.191000,0.000000,0.000000,0.000000,0.000000,12.191000
12,0,0.000000,5.681000,3.528000,0.000000,1.006000,1.508000,11.723000,0.000000,0.000000,0.000000,0.000000,11.723000
13,0,0.000000,6.530000,1.023000,0.000000,2.154000,0.000000,9.707000,0.000000,0.000000,0.000000,0.000000,9.707000
14,0,0.000000,4.327000,3.812000,0.000000,1.119000,1.009000,10.267000,0.000000,0.000000,0.000000,0.000000,10.267000
15,0,0.000000,6.433000,1.532000,1.007000,0.505000,1.008000,10.485000,0.000000,0.000000,0.000000,0.000000,10.485000
16,0,0.000000,6.532000,2.107000,0.810000,1.469000,0.000000,10.918000,0.000000,0.000000,0.000000,0.000000,10.918000
17,0,0.000000,5.718000,2.767000,0.000000,0.999000,1.284000,10.768000,0.000000,0.000000,0.000000,0.000000,10.768000
18,0,0.000000,6.524000,2.480000,0.303000,0.508000,1.010000,10.825000,0.000000,0.000000,0.000000,0.000000,10.825000
19,0,0.000000,7.049000,0.000000,1.509000,0.529000,1.014000,10.101000,0.000000,0.000000,0.000000,0.000000,10.101000
20,0,0.000000,6.638000,2.003000,0.000000,1.519000,0.000000,10.160000,0.000000,0.000000,0.000000,0.000000,10.160000
21,0,0.000000,6.700000,0.000000,0.000000,4.461000,0.000000,11.161000,0.000000,0.000000,0.000000,0.000000,11.161000
22,0,0.000000,8.226000,1.991000,0.000000,0.509000,1.866000,12.592000,0.000000,0.000000,0.000000,0.000000,12.592000
23,0,0.000000,5.678000,2.047000,0.000000,1.530000,1.014000,10.269000,0.000000,0.000000,0.000000,0.000000,10.269000
24,0,0.000000,6.561000,1.524000,1.007000,1.075000,1.008000,11.175000,0.000000,0.000000,0.000000,0.000000,11.175000
25,0,0.000000,6.515000,1.625000,1.008000,1.113000,0.996000,11.257000,0.000000,0.000000,0.000000,0.000000,11.257000
26,0,0.000000,6.866000,2.066000,0.000000,1.008000,0.000000,9.940000,0.000000,1.004000,0.000000,0.000000,10.944000
27,0,0.000000,6.810000,2.588000,0.000000,1.027000,1.009000,11.434000,0.000000,0.000000,0.000000,0.000000,11.434000
28,0,0.000000,8.051000,1.507000,0.000000,2.328000,0.534000,12.420000,0.000000,0.534000,0.000000,0.000000,12.954000
29,0,0.000000,5.592000,2.000000,0.000000,1.508000,0.521000,9.621000,0.000000,0.000000,0.000000,0.000000,9.621000
30,0,0.000000,6.949000,1.508000,0.000000,1.513000,1.009000,10.979000,0.000000,0.000000,0.000000,0.000000,10.979000
31,0,0.000000,5.532000,2.570000,0.000000,1.520000,1.028000,10.650000,0.000000,0.000000,0.000000,0.000000,10.650000
32,0,0.000000,6.874000,1.520000,0.000000,1.531000,0.000000,9.925000,0.000000,1.014000,0.000000,0.000000,10.939000
33,0,0.000000,6.798000,1.589000,0.992000,1.063000,0.000000,10.442000,0.000000,0.000000,0.000000,0.000000,10.442000
34,0,0.000000,6.049000,1.581000,0.587000,0.519000,1.014000,9.750000,0.000000,0.000000,0.000000,0.000000,9.750000
35,0,0.000000,6.540000,2.084000,0.000000,1.527000,0.000000,10.151000,0.000000,0.000000,0.000000,0.000000,10.151000
36,0,0.000000,7.786000,1.654000,0.000000,1.692000,0.524000,11.656000,0.000000,0.627000,0.000000,0.000000,13.293000
37,0,0.000000,8.089000,2.362000,0.000000,2.234000,0.570000,13.255000,0.000000,0.000000,0.000000,0.000000,13.255000
