metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,1679,0.000000,0.000000,0.000000,0.000000
ants_advance,1679,1521.919000,0.906444,0.000000,7.287000
mpi_pheromone_sync,1679,17324.550000,10.318374,0.000000,243.485000
evaporation,1679,236.480000,0.140846,0.000000,4.770000
mpi_evaporation_sync,1679,16618.540000,9.897880,0.000000,85.123000
update,1679,3199.376000,1.905525,0.000000,10.811000
advance_total,1679,38900.865000,23.169068,5.600000,295.580000
mpi_food_sync,1679,778.603000,0.463730,0.000000,6.568000
mpi_gather,1679,289.903000,0.172664,0.000000,5.686000
render,1679,0.000000,0.000000,0.000000,0.000000
blit,1679,0.000000,0.000000,0.000000,0.000000
iteration_total,1679,39985.825000,23.815262,9.407000,301.179000

meta_key,meta_value
total_iterations,1679
measured_iterations,1679
final_food_quantity,1
first_food_iteration,1669
