metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,860,30.712268,0.035712,0.010964,3.743352
ants_advance,860,8855.753434,10.297388,7.578745,18.152238
evaporation,860,93.709133,0.108964,0.050848,0.708873
update,860,2.654500,0.003087,0.001222,0.070221
advance_total,860,8915.406490,10.366752,7.684304,18.239655
render,860,48572.608523,56.479777,24.846514,152.113078
blit,860,7549.724128,8.778749,0.689234,17.289420
iteration_total,860,72866.478908,84.728464,44.467848,189.079583
mpi_halo_exchange,860,123.903502,0.144074,0.056256,4.617267
mpi_migration,860,4729.640694,5.499582,2.178518,15.664900
mpi_food_allreduce,860,2.526208,0.002937,0.001153,0.356996
mpi_render_comm,860,63303.212569,73.608387,33.512781,172.795341
mpi_total_comm,860,65203.837051,75.818415,34.833847,174.508618

meta_key,meta_value
total_iterations,860
measured_iterations,860
final_food_quantity,9
first_food_iteration,850
