metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,860,23.728066,0.027591,0.007783,4.275675
ants_advance,860,2622.433937,3.049342,1.921910,13.338415
evaporation,860,76.254855,0.088668,0.035508,5.849903
update,860,2.276467,0.002647,0.000862,0.099199
advance_total,860,2670.552219,3.105293,1.954966,13.411424
render,860,34550.322855,40.174794,7.454997,156.744113
blit,860,7433.621943,8.643746,0.447322,16.823235
iteration_total,860,50114.447893,58.272614,26.805876,262.241221
mpi_halo_exchange,860,335.210149,0.389779,0.045491,18.184638
mpi_migration,860,2488.870240,2.894035,0.749657,58.169623
mpi_food_allreduce,860,1.643852,0.001911,0.000584,0.107958
mpi_render_comm,860,46160.336381,53.674810,18.016923,178.879665
mpi_total_comm,860,47498.113559,55.230365,22.751333,209.069874

meta_key,meta_value
total_iterations,860
measured_iterations,860
final_food_quantity,2
first_food_iteration,850
