metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,860,17.440017,0.020279,0.006450,1.411261
ants_advance,860,6069.777031,7.057880,4.297131,22.197823
evaporation,860,102.645636,0.119355,0.066843,0.831212
update,860,2.942717,0.003422,0.001620,0.085775
advance_total,860,6162.959954,7.166233,4.375313,22.457930
render,860,20767.984112,24.148819,6.047606,54.678076
blit,860,7551.370771,8.780664,0.380889,16.793074
iteration_total,860,37441.560373,43.536698,28.553603,80.769830
mpi_halo_exchange,860,77.778147,0.090440,0.043978,2.870763
mpi_migration,860,1391.855317,1.618436,0.042188,14.615275
mpi_food_allreduce,860,1.097881,0.001277,0.000375,0.028081
mpi_render_comm,860,31128.389333,36.195802,13.785043,71.650293
mpi_total_comm,860,32006.783288,37.217190,16.573044,74.670630

meta_key,meta_value
total_iterations,860
measured_iterations,860
final_food_quantity,2
first_food_iteration,850
