metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,860,33.261340,0.038676,0.008286,8.544351
ants_advance,860,2558.141633,2.974583,1.729675,15.016109
evaporation,860,72.129020,0.083871,0.035348,1.266221
update,860,2.555069,0.002971,0.000882,0.111650
advance_total,860,2606.810782,3.031175,1.770601,15.087003
render,860,36233.524750,42.132006,9.765351,139.119071
blit,860,7316.726300,8.507821,0.424246,26.657655
iteration_total,860,51217.730785,59.555501,27.206425,224.515665
mpi_halo_exchange,860,265.427083,0.308636,0.045397,12.898397
mpi_migration,860,2029.080131,2.359396,0.604834,52.930180
mpi_food_allreduce,860,1.834524,0.002133,0.000473,0.112144
mpi_render_comm,860,47630.287790,55.384056,17.714226,152.085252
mpi_total_comm,860,48359.829698,56.232360,20.102012,157.958332

meta_key,meta_value
total_iterations,860
measured_iterations,860
final_food_quantity,2
first_food_iteration,850
