metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,860,19.817915,0.023044,0.008015,1.571978
ants_advance,860,2612.628652,3.037940,2.038729,10.813402
evaporation,860,63.647953,0.074009,0.035139,0.486489
update,860,2.092994,0.002434,0.001021,0.058741
advance_total,860,2661.855095,3.095180,2.070246,10.873021
render,860,30265.209706,35.192104,7.664514,123.127570
blit,860,7662.346186,8.909705,0.477470,16.724530
iteration_total,860,44479.707869,51.720591,28.307787,136.567703
mpi_halo_exchange,860,75.445001,0.087727,0.030683,4.585488
mpi_migration,860,1792.913534,2.084783,0.960872,20.254754
mpi_food_allreduce,860,1.289757,0.001500,0.000615,0.024271
mpi_render_comm,860,41552.357510,48.316695,19.070619,133.410709
mpi_total_comm,860,42528.456796,49.451694,23.743209,135.243115

meta_key,meta_value
total_iterations,860
measured_iterations,860
final_food_quantity,2
first_food_iteration,850
