metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,860,18.824049,0.021888,0.006935,1.718232
ants_advance,860,3651.796663,4.246275,2.441953,11.751599
evaporation,860,78.426555,0.091194,0.045170,0.477919
update,860,2.477778,0.002881,0.001063,0.086632
advance_total,860,3714.247229,4.318892,2.475632,11.814047
render,860,26036.913199,30.275480,6.537264,108.904552
blit,860,7831.887348,9.106846,0.446544,16.903316
iteration_total,860,41109.131502,47.801316,23.557063,123.274203
mpi_halo_exchange,860,106.148762,0.123429,0.044719,11.633607
mpi_migration,860,2557.368067,2.973684,0.619630,17.958401
mpi_food_allreduce,860,1.474116,0.001714,0.000546,0.064411
mpi_render_comm,860,37138.029314,43.183755,13.820624,119.061733
mpi_total_comm,860,38525.029667,44.796546,20.542370,120.600189

meta_key,meta_value
total_iterations,860
measured_iterations,860
final_food_quantity,2
first_food_iteration,850
