metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,520,0.000000,0.000000,0.000000,0.000000
ants_advance,520,14437.978000,27.765342,16.608000,75.464000
mpi_pheromone_sync,520,1259.892000,2.422869,0.000000,72.180000
evaporation,520,108.767000,0.209167,0.000000,6.656000
mpi_evaporation_sync,520,916.085000,1.761702,0.000000,11.011000
update,520,281.262000,0.540888,0.000000,6.216000
advance_total,520,17003.984000,32.699969,17.771000,150.598000
mpi_food_sync,520,8.412000,0.016177,0.000000,1.842000
mpi_gather,520,563.852000,1.084331,0.000000,8.266000
render,520,0.000000,0.000000,0.000000,0.000000
blit,520,0.000000,0.000000,0.000000,0.000000
iteration_total,520,17578.264000,33.804354,17.771000,152.056000

meta_key,meta_value
total_iterations,520
measured_iterations,520
final_food_quantity,1
first_food_iteration,510
