metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,554,0.000000,0.000000,0.000000,0.000000
ants_advance,554,13885.596000,25.064253,10.826000,93.539000
mpi_pheromone_sync,554,7288.065000,13.155352,5.274000,80.998000
evaporation,554,63.805000,0.115171,0.000000,3.230000
mpi_evaporation_sync,554,5783.749000,10.439980,3.048000,81.067000
update,554,1142.884000,2.062968,0.000000,7.529000
advance_total,554,28164.099000,50.837724,29.641000,205.547000
mpi_food_sync,554,221.784000,0.400332,0.000000,6.559000
mpi_gather,554,896.427000,1.618099,0.000000,8.739000
render,554,0.000000,0.000000,0.000000,0.000000
blit,554,0.000000,0.000000,0.000000,0.000000
iteration_total,554,29286.983000,52.864590,29.866000,210.886000

meta_key,meta_value
total_iterations,554
measured_iterations,554
final_food_quantity,9
first_food_iteration,544
