metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,641,0.000000,0.000000,0.000000,0.000000
ants_advance,641,4346.902000,6.781438,0.000000,27.455000
mpi_pheromone_sync,641,7207.674000,11.244421,2.332000,46.725000
evaporation,641,120.410000,0.187847,0.000000,4.586000
mpi_evaporation_sync,641,6467.447000,10.089621,1.550000,34.256000
update,641,1774.584000,2.768462,0.000000,7.425000
advance_total,641,19917.017000,31.071789,15.467000,86.235000
mpi_food_sync,641,475.513000,0.741830,0.000000,7.553000
mpi_gather,641,431.415000,0.673034,0.000000,6.152000
render,641,0.000000,0.000000,0.000000,0.000000
blit,641,0.000000,0.000000,0.000000,0.000000
iteration_total,641,20827.362000,32.491984,15.467000,92.665000

meta_key,meta_value
total_iterations,641
measured_iterations,641
final_food_quantity,3
first_food_iteration,631
