iteration,food_quantity,event_poll_ms,ants_advance_ms,mpi_pheromone_sync_ms,evaporation_ms,mpi_evaporation_sync_ms,update_ms,advance_total_ms,mpi_food_sync_ms,mpi_gather_ms,render_ms,blit_ms,iteration_total_ms
42,0,0.000000,34.990000,2.597000,1.034000,1.529000,0.654000,40.804000,0.000000,0.000000,0.000000,0.000000,40.804000
43,0,0.000000,37.861000,1.890000,0.000000,0.000000,3.678000,43.429000,0.000000,0.761000,0.000000,0.000000,44.190000
44,0,0.000000,35.338000,2.046000,0.000000,0.000000,0.000000,37.384000,0.000000,6.122000,0.000000,0.000000,43.506000
45,0,0.000000,34.736000,3.387000,1.032000,1.017000,1.337000,41.509000,0.000000,1.522000,0.000000,0.000000,43.031000
46,0,0.000000,29.279000,6.160000,1.021000,1.520000,0.000000,37.980000,0.000000,2.040000,0.000000,0.000000,40.020000
47,0,0.000000,37.716000,1.517000,0.000000,2.517000,0.000000,41.750000,0.000000,1.668000,0.000000,0.000000,43.418000
48,0,0.000000,39.309000,2.578000,0.000000,2.317000,0.523000,44.727000,0.000000,0.000000,0.000000,0.000000,44.727000
49,0,0.000000,35.079000,1.597000,0.000000,2.026000,0.000000,38.702000,0.000000,4.383000,0.000000,0.000000,43.085000
50,0,0.000000,37.100000,2.101000,0.000000,2.110000,0.000000,41.311000,0.000000,1.901000,0.000000,0.000000,43.212000
51,0,0.000000,39.119000,1.629000,0.000000,2.520000,0.709000,43.977000,0.000000,0.538000,0.000000,0.000000,44.515000
52,0,0.000000,35.503000,2.051000,0.000000,0.000000,0.000000,37.554000,0.000000,0.000000,0.000000,0.000000,37.554000
53,0,0.000000,34.863000,0.000000,0.000000,4.937000,1.024000,40.824000,0.000000,1.524000,0.000000,0.000000,42.348000
54,0,0.000000,35.856000,2.597000,0.000000,1.524000,1.021000,40.998000,0.000000,2.094000,0.000000,0.000000,43.092000
55,0,0.000000,35.049000,2.043000,1.036000,2.020000,0.000000,40.148000,0.000000,1.009000,0.000000,0.000000,41.157000
56,0,0.000000,36.145000,4.615000,0.379000,2.079000,0.515000,43.733000,0.000000,0.535000,0.000000,0.000000,44.268000
57,0,0.000000,34.690000,3.863000,0.000000,1.527000,0.000000,40.080000,0.000000,0.000000,0.000000,0.000000,40.080000
58,0,0.000000,39.284000,1.011000,0.000000,3.558000,0.000000,43.853000,0.000000,1.019000,0.000000,0.000000,44.872000
59,0,0.000000,40.328000,2.418000,0.912000,2.378000,0.569000,46.605000,0.569000,1.119000,0.000000,0.000000,48.293000
60,0,0.000000,38.204000,5.999000,0.478000,2.289000,0.000000,46.970000,0.000000,2.043000,0.000000,0.000000,49.013000
61,0,0.000000,34.721000,1.538000,0.000000,2.031000,0.000000,38.290000,0.000000,2.023000,0.000000,0.000000,40.313000
62,0,0.000000,36.008000,2.735000,1.014000,0.995000,1.632000,42.384000,0.000000,1.047000,0.000000,0.000000,43.431000
63,0,0.000000,33.364000,4.723000,0.000000,2.265000,0.000000,40.352000,0.000000,1.536000,0.000000,0.000000,41.888000
64,0,0.000000,36.997000,3.069000,0.000000,3.627000,0.000000,43.693000,0.000000,0.000000,0.000000,0.000000,43.693000
