iteration,food_quantity,event_poll_ms,ants_advance_ms,mpi_pheromone_sync_ms,evaporation_ms,mpi_evaporation_sync_ms,update_ms,advance_total_ms,mpi_food_sync_ms,mpi_gather_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.000000,0.997000,16.702000,0.000000,5.722000,1.027000,24.448000,0.000000,0.000000,0.000000,0.000000,25.447000
2,0,0.000000,0.000000,0.000000,0.000000,9.942000,5.345000,15.287000,0.000000,0.000000,0.000000,0.000000,15.287000
3,0,0.000000,0.000000,5.604000,0.000000,4.165000,4.318000,14.087000,0.000000,0.000000,0.000000,0.000000,14.087000
4,0,0.000000,0.000000,4.448000,0.000000,7.087000,3.100000,14.635000,0.000000,0.000000,0.000000,0.000000,14.635000
5,0,0.000000,0.000000,6.865000,0.000000,5.723000,2.132000,14.720000,0.000000,0.000000,0.000000,0.000000,14.720000
6,0,0.000000,1.036000,5.765000,0.000000,7.494000,0.000000,14.295000,0.000000,0.000000,0.000000,0.000000,14.295000
7,0,0.000000,0.000000,6.800000,0.000000,8.650000,0.754000,16.204000,0.000000,0.000000,0.000000,0.000000,16.204000
8,0,0.000000,0.000000,7.831000,0.000000,6.598000,0.000000,14.429000,0.000000,0.000000,0.000000,0.000000,14.429000
9,0,0.000000,0.000000,7.930000,0.000000,3.832000,3.431000,15.193000,0.000000,0.000000,0.000000,0.000000,15.193000
10,0,0.000000,0.000000,3.950000,0.000000,10.250000,1.387000,15.587000,0.000000,0.000000,0.000000,0.000000,15.587000
11,0,0.000000,0.000000,4.519000,0.000000,8.076000,1.531000,14.126000,0.000000,0.000000,0.000000,0.000000,14.126000
12,0,0.000000,1.536000,3.038000,0.000000,10.323000,0.000000,14.897000,0.000000,2.172000,0.000000,0.000000,17.069000
13,0,0.000000,0.000000,7.307000,0.000000,6.627000,1.396000,15.330000,0.000000,0.000000,0.000000,0.000000,15.330000
14,0,0.000000,1.520000,5.080000,0.000000,7.582000,0.510000,14.692000,0.000000,0.000000,0.000000,0.000000,14.692000
