metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,1056,0.000000,0.000000,0.000000,0.000000
ants_advance,1056,2068.291941,1.958610,1.398244,4.431703
evaporation,1056,75.542852,0.071537,0.047973,0.469860
update,1056,7.672816,0.007266,0.005323,0.047509
advance_total,1056,2151.507609,2.037413,1.491797,4.555237
render,1056,0.000000,0.000000,0.000000,0.000000
blit,1056,0.000000,0.000000,0.000000,0.000000
iteration_total,1056,2151.705543,2.037600,1.492054,4.555804

meta_key,meta_value
total_iterations,1056
measured_iterations,1056
final_food_quantity,1
first_food_iteration,1046
