iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.563650,4.312022,0.098419,0.034790,4.445231,20.293695,15.806664,41.109895
2,0,0.024249,1.329840,0.121254,0.009484,1.460578,13.421454,15.651031,30.557873
3,0,0.030877,1.969908,0.088468,0.008482,2.066858,13.167904,15.841763,31.107964
4,0,0.023015,1.608670,0.074888,0.008205,1.691763,13.607325,16.615540,31.938107
5,0,0.024482,1.197922,0.071468,0.008789,1.278179,13.630537,15.627231,30.560927
6,0,0.023544,1.987320,0.098296,0.009116,2.094732,13.225840,15.598874,30.943347
7,0,0.016412,1.226810,0.081494,0.008980,1.317284,14.675964,15.549523,31.559731
8,0,0.021847,1.213245,0.082187,0.009101,1.304533,14.151043,15.687278,31.165231
9,0,0.032268,1.186239,0.105880,0.007733,1.299852,14.339353,15.659360,31.331332
10,0,0.019954,1.446699,0.103405,0.007514,1.557618,13.446514,15.608654,30.633143
11,0,0.021382,1.642186,0.087774,0.008457,1.738417,14.476127,15.615530,31.851859
12,0,0.021997,1.317402,0.086947,0.008957,1.413306,13.555945,15.577372,30.569120
13,0,0.022887,1.386522,0.080892,0.008531,1.475945,14.646941,15.597487,31.743714
14,0,0.017315,1.216720,0.089969,0.008105,1.314794,13.519144,15.620840,30.472729
15,0,0.022059,1.383366,0.070348,0.007938,1.461652,14.484831,15.544725,31.513684
16,0,0.019690,1.261762,0.126237,0.008126,1.396125,13.916750,15.928454,31.261503
17,0,0.018777,1.153223,0.073180,0.008364,1.234767,14.565287,15.755531,31.574789
18,0,0.019604,1.150754,0.074115,0.008474,1.233343,13.774404,15.832496,30.860344
19,0,0.020374,1.382501,0.074917,0.007979,1.465397,14.067476,15.715159,31.268930
20,0,0.018760,1.336371,0.079787,0.008230,1.424388,12.466214,15.926282,29.836155
21,0,0.018680,1.170987,0.110675,0.008628,1.290290,14.171516,15.741171,31.222073
22,0,0.020782,1.328260,0.077615,0.008106,1.413981,13.749572,15.692056,30.876659
23,0,0.040654,1.037483,0.071911,0.008770,1.118164,15.058050,15.625156,31.842393
24,0,0.018656,1.111988,0.080167,0.008010,1.200165,14.536979,14.851594,30.607767
25,0,0.020284,1.143106,0.073104,0.009427,1.225637,14.701781,15.675707,31.623805
26,0,0.019222,1.091053,0.077864,0.008504,1.177421,14.034630,15.814411,31.046156
27,0,0.020972,1.199320,0.070813,0.008375,1.278508,14.068077,15.738551,31.106600
28,0,0.021122,1.123006,0.072099,0.008242,1.203347,14.338273,15.634302,31.197600
29,0,0.023537,1.178648,0.078183,0.008123,1.264954,14.117817,15.670198,31.077121
30,0,0.021659,1.271194,0.087509,0.007655,1.366358,2.482437,12.685182,16.556164
31,0,0.019978,1.135691,0.070955,0.008788,1.215434,14.412534,15.732057,31.380330
32,0,0.021207,1.149372,0.086878,0.008439,1.244689,14.687199,15.724668,31.678176
33,0,0.020378,1.188452,0.103442,0.007715,1.299609,13.451568,15.939239,30.711231
34,0,0.018785,1.049045,0.067834,0.007710,1.124589,14.119521,15.683919,30.947361
35,0,0.019642,1.535392,0.076290,0.008071,1.619753,13.843817,15.906893,31.390532
36,0,0.041648,1.164964,0.072014,0.008049,1.245027,14.701744,15.693190,31.682168
37,0,0.029292,1.233620,0.081590,0.008683,1.323893,13.548846,15.587095,30.489722
38,0,0.021074,1.129038,0.078778,0.008400,1.216216,14.878992,15.617465,31.734282
39,0,0.021060,1.375137,0.073865,0.008310,1.457312,13.521914,15.530464,30.531223
40,0,0.020981,1.142354,0.074955,0.008445,1.225754,14.603377,15.537959,31.388656
41,0,0.018149,1.134208,0.077611,0.008608,1.220427,14.503320,15.492187,31.234430
42,0,0.018167,1.167892,0.075450,0.007734,1.251076,14.349079,15.567284,31.186187
43,0,0.019344,1.100530,0.070599,0.009298,1.180427,14.648533,15.720606,31.569451
44,0,0.020233,1.105840,0.074844,0.008169,1.188853,14.262628,15.668135,31.140137
45,0,0.019656,1.273666,0.065778,0.008093,1.347537,13.710309,15.652802,30.730853
46,0,0.020150,1.117476,0.080564,0.008143,1.206183,14.569867,15.681047,31.477998
47,0,0.020548,1.253131,0.068876,0.008888,1.330895,14.239594,15.683387,31.274879
48,0,0.019745,1.282921,0.071351,0.007983,1.362255,13.475188,15.747292,30.604870
49,0,0.019268,1.060567,0.066759,0.008206,1.135532,14.895917,15.619864,31.671175
50,0,0.020544,1.296577,0.069913,0.008381,1.374871,13.576016,16.572602,31.544553
51,0,0.018259,1.202996,0.082939,0.008558,1.294493,13.464470,15.665168,30.442894
52,0,0.015083,1.261357,0.073687,0.007820,1.342864,12.735682,16.644017,30.737978
53,0,0.019422,1.156934,0.084826,0.010486,1.252246,13.556528,15.569259,30.397811
54,0,0.017037,1.248041,0.094989,0.008264,1.351294,14.667698,15.546157,31.582611
55,0,0.017003,1.095978,0.074233,0.008530,1.178741,13.810083,16.582296,31.588493
56,0,0.017994,1.070839,0.111284,0.008174,1.190297,13.682338,15.444607,30.335808
57,0,0.017519,1.442266,0.093003,0.009423,1.544692,14.631000,15.644696,31.838428
58,0,0.019060,1.263222,0.171470,0.007508,1.442200,13.388747,15.676223,30.526648
59,0,0.020429,1.250729,0.065025,0.007950,1.323704,14.473189,15.628168,31.445835
60,0,0.018190,1.166568,0.069958,0.007583,1.244109,14.739079,15.644349,31.646077
61,0,0.018481,1.255748,0.099892,0.008843,1.364483,13.608650,0.513139,15.505468
62,0,0.010009,1.259610,0.080062,0.008317,1.347989,15.353356,15.590281,32.302035
63,0,0.018523,1.309840,0.098197,0.008173,1.416210,13.929458,15.689109,31.053727
64,0,0.019043,1.565299,0.072700,0.008115,1.646114,13.653737,15.740722,31.059876
65,0,0.016761,1.128570,0.083203,0.007640,1.219413,13.761251,15.736292,30.734242
66,0,0.021382,1.274769,0.073729,0.008812,1.357310,14.160063,15.546129,31.085473
67,0,0.019279,1.226584,0.083208,0.008947,1.318739,15.019244,15.588600,31.946282
68,0,0.021399,1.273910,0.102261,0.008197,1.384368,13.350596,16.513475,31.270163
69,0,0.022335,1.151000,0.091451,0.008425,1.250876,13.426582,16.512070,31.212368
70,0,0.019322,1.265816,0.070564,0.007478,1.343858,13.763832,15.543611,30.671061
71,0,0.019278,1.322530,0.105487,0.008957,1.436974,13.602382,16.545851,31.604952
72,0,0.021959,1.205537,0.073201,0.008520,1.287258,13.345784,16.535724,31.191151
73,0,0.018923,1.170846,0.076208,0.008576,1.255630,14.118053,14.896098,30.289160
74,0,0.017752,1.372061,0.094698,0.007802,1.474561,14.164135,15.587537,31.244399
75,0,0.016780,1.157205,0.077942,0.013520,1.248667,14.300049,15.698340,31.264271
76,0,0.019860,1.272201,0.065693,0.008036,1.345930,14.749942,15.645925,31.762117
77,0,0.020488,1.291247,0.070213,0.008669,1.370129,14.137455,15.625881,31.154710
78,0,0.023825,1.263466,0.096007,0.008154,1.367627,13.463510,16.573551,31.428884
79,0,0.019868,1.243751,0.067360,0.008171,1.319282,13.461353,15.588033,30.389057
80,0,0.019629,1.444487,0.077990,0.008301,1.530778,14.331899,15.501061,31.383832
81,0,0.020697,1.129248,0.086069,0.009506,1.224823,14.458469,15.541431,31.245876
82,0,0.018001,1.114842,0.068107,0.007966,1.190915,14.324701,15.509402,31.043430
83,0,0.017584,1.160674,0.072339,0.009153,1.242166,14.531512,14.584299,30.376130
84,0,0.017806,1.197840,0.101439,0.008705,1.307984,14.609289,15.589156,31.524742
85,0,0.018929,1.133828,0.121899,0.009178,1.264905,14.019209,15.628418,30.932017
86,0,0.018825,1.121919,0.073381,0.008662,1.203962,14.380378,15.652089,31.255618
87,0,0.020337,1.217324,0.071634,0.009178,1.298136,13.566602,16.584876,31.470410
88,0,0.018341,1.124423,0.069907,0.008630,1.202960,13.501816,15.651985,30.375585
