metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,1657,35.750580,0.021575,0.006336,0.872808
ants_advance,1657,3262.635786,1.969002,1.522628,3.385709
evaporation,1657,139.427605,0.084145,0.050426,0.932753
update,1657,13.529020,0.008165,0.005900,0.166549
advance_total,1657,3415.592411,2.061311,1.594425,3.467313
render,1657,21876.388549,13.202407,3.122714,23.777730
blit,1657,24436.895578,14.747674,0.274116,17.171201
iteration_total,1657,49765.630100,30.033573,14.242776,38.457366

meta_key,meta_value
total_iterations,1657
measured_iterations,1657
final_food_quantity,1
first_food_iteration,1647
