metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,1614,0.000000,0.000000,0.000000,0.000000
ants_advance,1614,1497.051239,0.927541,0.705068,3.155130
evaporation,1614,119.715897,0.074173,0.052025,0.966065
update,1614,11.914737,0.007382,0.005721,0.255454
advance_total,1614,1628.681873,1.009097,0.774764,3.260995
render,1614,0.000000,0.000000,0.000000,0.000000
blit,1614,0.000000,0.000000,0.000000,0.000000
iteration_total,1614,1628.904624,1.009235,0.774899,3.261226

meta_key,meta_value
total_iterations,1614
measured_iterations,1614
final_food_quantity,1
first_food_iteration,1604
