iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.977444,9.282132,0.187587,0.005681,9.475400,32.221831,16.227651,58.902731
2,0,0.019183,12.131427,0.268466,0.050938,12.450831,10.708228,8.035533,31.214025
3,0,0.021203,11.352989,0.162379,0.005203,11.520571,8.406170,10.978450,30.926892
4,0,0.068961,8.868990,0.133597,0.005329,9.007916,8.048245,13.951014,31.076717
5,0,0.024774,8.649840,0.127919,0.005296,8.783055,7.024128,14.720849,30.553194
6,0,0.018399,8.234274,0.149339,0.005012,8.388625,6.517925,16.577943,31.503177
7,0,0.033244,9.309031,0.281133,0.004412,9.594576,7.405316,13.638220,30.671986
8,0,0.018098,8.609771,0.155476,0.005646,8.770893,6.281912,15.553567,30.624761
9,0,0.019132,8.295751,0.125711,0.005288,8.426750,6.706110,16.635271,31.787684
10,0,0.020407,8.198034,0.129523,0.005071,8.332628,6.773025,15.633549,30.759978
11,0,0.019965,8.337322,0.124339,0.005088,8.466749,8.904265,13.616794,31.008278
12,0,0.020468,8.626704,0.137865,0.005200,8.769769,8.198083,13.607155,30.595891
13,0,0.062557,7.942144,0.114557,0.005176,8.061877,7.046309,15.690017,30.861244
14,0,0.062192,8.815064,0.135385,0.005657,8.956106,9.800141,12.675213,31.494231
15,0,0.020984,7.538309,0.131169,0.005102,7.674580,7.570094,15.718640,30.984872
16,0,0.018267,7.784555,0.136481,0.005350,7.926386,7.389364,15.777181,31.111602
17,0,0.065015,12.793004,0.125402,0.005499,12.923905,7.280669,10.857122,31.127132
18,0,0.104973,9.529672,0.166317,0.005576,9.701565,7.038619,13.627433,30.473119
19,0,0.022270,8.977391,0.143584,0.005052,9.126027,6.739411,15.600132,31.488334
20,0,0.052763,10.057827,0.132611,0.004968,10.195406,7.108921,13.616934,30.974553
21,0,0.023317,8.803599,0.130874,0.005488,8.939961,6.941231,14.691465,30.596548
22,0,0.026923,9.582563,0.130613,0.005135,9.718311,6.808445,14.882610,31.436794
23,0,0.066984,8.752461,0.124309,0.005187,8.881957,7.805823,13.886052,30.641445
24,0,0.021514,9.919985,0.129934,0.005482,10.055401,6.952964,13.694053,30.724361
25,0,0.057469,7.861810,0.117032,0.004830,7.983672,7.595452,15.397777,31.035445
26,0,0.052808,8.917968,0.127778,0.005406,9.051152,6.903957,14.773597,30.782047
27,0,0.037983,8.640867,0.116104,0.005053,8.762024,6.887689,14.969705,30.657930
28,0,0.018195,7.850269,0.121585,0.005482,7.977336,6.557100,16.600520,31.153631
29,0,0.079760,8.905075,0.153095,0.005410,9.063580,7.461587,15.078613,31.683931
30,0,0.025286,10.341650,0.140582,0.005174,10.487406,8.284625,11.662385,30.459997
31,0,0.018885,8.960929,0.121006,0.005102,9.087037,7.971810,14.416171,31.494322
32,0,0.026798,7.580710,0.122909,0.005102,7.708721,7.295951,15.911493,30.943416
33,0,0.063447,7.861076,0.113876,0.005000,7.979952,7.178470,16.217784,31.440080
34,0,0.025799,8.496973,0.141806,0.005423,8.644202,8.197158,14.181651,31.049303
35,0,0.043568,9.141687,0.131912,0.005199,9.278798,7.403940,14.197441,30.924362
36,0,0.022754,8.671169,0.186459,0.004774,8.862402,7.241909,14.009597,30.137091
37,0,0.020671,7.595916,0.114434,0.004933,7.715283,8.667840,15.212226,31.616429
38,0,0.021375,8.468055,0.124406,0.005333,8.597794,6.784559,15.551757,30.955946
39,0,0.062689,7.818060,0.183509,0.005491,8.007060,6.759812,15.597426,30.427382
40,0,0.020945,7.962926,0.145563,0.005337,8.113826,8.929366,14.726437,31.791112
41,0,0.026341,7.213969,0.119699,0.005047,7.338715,7.843372,15.714889,30.923569
42,0,0.019681,8.473422,0.129701,0.005242,8.608365,7.674286,14.889828,31.192838
43,0,0.020720,7.764685,0.127728,0.005171,7.897584,7.362496,15.018611,30.299962
44,0,0.022358,8.441601,0.134773,0.005241,8.581615,7.773191,14.812006,31.189575
45,0,0.020550,9.125801,0.123125,0.005536,9.254462,6.581225,15.604633,31.461260
46,0,0.018939,8.218947,0.128348,0.005089,8.352384,7.100561,15.010286,30.482733
47,0,0.021340,8.122301,0.135201,0.005514,8.263016,6.926818,15.824473,31.036047
48,0,0.018626,8.439060,0.122663,0.005145,8.566868,6.560705,15.756030,30.902584
49,0,0.017336,7.106490,0.112557,0.005490,7.224537,8.245813,15.959583,31.447632
50,0,0.017859,7.324518,0.120319,0.004729,7.449566,6.861297,16.623417,30.952806
51,0,0.019780,7.194304,0.131918,0.005116,7.331338,7.446910,16.360939,31.159331
52,0,0.021707,7.162848,0.118083,0.005189,7.286120,7.769921,15.352536,30.430772
53,0,0.018649,7.354578,0.109031,0.004792,7.468401,8.154718,15.341634,30.983731
54,0,0.017854,7.245420,0.120989,0.004773,7.371182,8.420298,15.363245,31.172878
55,0,0.023534,7.184549,0.123482,0.005098,7.313129,8.231583,15.318724,30.887387
56,0,0.019406,7.558657,0.124895,0.005182,7.688734,7.745081,16.316861,31.770410
57,0,0.018995,8.075995,0.119081,0.004799,8.199875,7.459810,14.559517,30.238608
58,0,0.019951,8.378291,0.135340,0.005185,8.518816,7.838995,13.610457,29.988538
59,0,0.017973,7.167214,0.120001,0.005122,7.292337,8.417973,15.382962,31.111587
60,0,0.019683,6.893825,0.124135,0.005237,7.023197,9.694342,15.335008,32.072669
61,0,0.016503,8.418825,0.139953,0.006599,8.565377,6.298158,16.720135,31.600524
62,0,0.020194,9.032871,0.139316,0.005292,9.177479,6.732586,14.613142,30.543802
63,0,0.020596,8.358617,0.145208,0.005544,8.509369,6.895772,15.696714,31.122981
64,0,0.020971,8.010773,0.130868,0.005203,8.146844,6.635670,15.691052,30.495043
65,0,0.020426,8.035930,0.137242,0.005060,8.178232,7.503256,15.367727,31.070117
66,0,0.018811,7.807515,0.146998,0.007176,7.961689,7.318855,15.610625,30.910356
67,0,0.018028,8.348511,0.183333,0.004328,8.536172,6.651322,16.644293,31.850166
68,0,0.016720,7.864820,0.137185,0.005902,8.007907,6.676829,15.555533,30.257362
69,0,0.015855,9.010940,0.193033,0.005169,9.209142,7.341412,14.693837,31.260733
70,0,0.021299,9.832292,0.152039,0.007538,9.991869,6.771655,14.672796,31.458038
71,0,0.022633,7.510646,0.162676,0.006644,7.679966,6.653321,16.663074,31.019413
72,0,0.018194,7.455486,0.123558,0.006303,7.585347,7.270935,15.684668,30.559389
73,0,0.020389,7.266650,0.157343,0.004820,7.428813,7.948873,15.416725,30.815179
74,0,0.019081,8.490716,0.143548,0.005063,8.639327,7.347846,15.673553,31.680037
75,0,0.023709,8.476525,0.152937,0.005049,8.634511,7.202033,14.657250,30.517931
76,0,0.020707,8.054340,0.131764,0.005108,8.191212,7.038160,15.633057,30.883399
77,0,0.022957,8.313415,0.123779,0.005000,8.442194,7.000822,15.748482,31.214867
78,0,0.032639,9.088515,0.170784,0.004877,9.264176,7.139338,14.591613,31.028109
79,0,0.018106,7.787756,0.166175,0.005291,7.959222,7.030849,15.608030,30.616515
80,0,0.019735,8.448962,0.132558,0.005464,8.586984,7.006731,15.588852,31.202791
81,0,0.018910,8.337219,0.149709,0.005018,8.491946,6.516212,16.534474,31.561838
82,0,0.018842,7.851396,0.125590,0.005125,7.982111,6.651723,15.575766,30.228763
83,0,0.017536,8.003595,0.120307,0.005226,8.129128,6.810571,16.625211,31.583100
84,0,0.021162,8.303737,0.131878,0.005353,8.440968,7.766367,14.618166,30.847018
85,0,0.018438,7.267031,0.124073,0.005416,7.396520,7.275871,16.405598,31.096822
86,0,0.022362,11.738094,0.175275,0.005014,11.918383,8.291724,10.660576,30.893664
87,0,0.251963,11.350439,0.193001,0.024862,11.568302,5.746135,13.646280,31.213318
88,0,0.028132,8.244352,0.138964,0.006913,8.390229,6.617358,15.861516,30.897613
89,0,0.018688,8.082795,0.121178,0.005042,8.209015,6.127056,15.713702,30.068928
90,0,0.018182,8.640807,0.135817,0.005141,8.781765,5.528429,16.591748,30.920589
91,0,0.020952,7.902591,0.118064,0.005031,8.025686,7.205039,15.348848,30.600973
92,0,0.019808,7.422282,0.116699,0.004631,7.543612,5.494382,3.715197,16.773352
93,0,0.014029,8.671739,0.133330,0.005255,8.810324,6.489918,15.382776,30.697500
94,0,0.020252,7.695872,0.119729,0.005082,7.820683,7.120124,16.417083,31.378719
95,0,0.018929,9.294766,0.143094,0.005351,9.443211,6.167571,14.893183,30.523249
96,0,0.017680,8.180616,0.122857,0.005018,8.308491,7.461345,15.476376,31.264322
97,0,0.019718,7.950773,0.142664,0.005036,8.098473,6.761741,16.604074,31.484866
98,0,0.019686,10.602769,0.156841,0.004738,10.764348,6.680637,13.612924,31.078026
99,0,0.019996,7.773002,0.128153,0.005060,7.906215,6.447413,16.402129,30.776389
100,0,0.020986,8.311923,0.126933,0.004997,8.443853,5.895910,16.674576,31.035707
101,0,0.017281,9.831583,0.146599,0.006346,9.984528,5.706922,14.729973,30.439051
102,0,0.019014,8.170485,0.134434,0.005548,8.310467,7.049343,16.465140,31.844348
103,0,0.016321,6.977961,0.120612,0.004803,7.103376,6.999334,16.436720,30.556902
104,0,0.017007,7.574232,0.201489,0.008196,7.783917,7.428795,15.697162,30.927332
105,0,0.018859,7.678149,0.169697,0.005771,7.853617,7.107546,16.432859,31.413293
106,0,0.019177,9.219231,0.194784,0.005399,9.419414,5.690442,15.660417,30.789850
107,0,0.019105,7.448541,0.118342,0.005494,7.572377,7.692687,15.386304,30.670867
108,0,0.017314,8.098264,0.190259,0.004397,8.292920,7.075285,15.369597,30.755491
109,0,0.019831,7.732896,0.136012,0.007032,7.875940,8.020061,15.416137,31.332456
110,0,0.020365,7.555835,0.144236,0.005097,7.705168,7.352145,16.362868,31.440878
111,0,0.021012,8.830146,0.121217,0.005137,8.956500,6.112698,15.689509,30.780072
112,0,0.021061,7.392383,0.142902,0.005154,7.540439,7.178294,16.373432,31.113641
113,0,0.024998,9.391348,0.173825,0.007359,9.572532,8.774621,11.916138,30.288584
114,0,0.021419,12.343545,0.180881,0.005575,12.530001,6.055641,12.564110,31.171759
115,0,0.020935,6.871792,0.122409,0.005150,6.999351,8.375029,15.487240,30.883010
116,0,0.020067,7.383135,0.131183,0.005613,7.519931,7.479230,16.553092,31.572713
