metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,860,13.822238,0.016072,0.005860,0.949344
ants_advance,860,12807.756538,14.892740,11.260107,22.261447
evaporation,860,122.532915,0.142480,0.037539,0.567399
update,860,7.189429,0.008360,0.006113,0.056873
advance_total,860,12937.478882,15.043580,11.325152,22.697084
render,860,24365.232706,28.331666,13.783603,52.789643
blit,860,7930.122608,9.221073,0.315541,16.836515
iteration_total,860,45247.045091,52.612843,29.637023,81.173424

meta_key,meta_value
total_iterations,860
measured_iterations,860
final_food_quantity,9
first_food_iteration,850
