metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,860,0.000000,0.000000,0.000000,0.000000
ants_advance,860,13586.657636,15.798439,11.851243,27.916535
evaporation,860,101.678756,0.118231,0.045036,1.656308
update,860,6.624555,0.007703,0.005723,0.040701
advance_total,860,13694.960947,15.924373,11.918998,27.988400
render,860,0.000000,0.000000,0.000000,0.000000
blit,860,0.000000,0.000000,0.000000,0.000000
iteration_total,860,13695.145019,15.924587,11.919051,27.988666

meta_key,meta_value
total_iterations,860
measured_iterations,860
final_food_quantity,9
first_food_iteration,850
