iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.918886,3.138413,0.159124,0.006611,3.304148,21.257121,15.766231,41.246887
2,0,0.022359,3.286434,0.100279,0.006951,3.393664,11.445777,15.758703,30.620928
3,0,0.025324,3.247952,0.093456,0.006504,3.347912,11.980212,15.820011,31.173974
4,0,0.021846,2.729111,0.087991,0.006730,2.823832,12.334957,15.609552,30.790664
5,0,0.020452,1.937812,0.077675,0.007097,2.022584,12.919066,15.560567,30.523089
6,0,0.022574,2.535164,0.146119,0.007001,2.688284,12.612472,15.544733,30.868481
7,0,0.017366,2.471607,0.149344,0.006719,2.627670,12.801028,15.568418,31.014801
8,0,0.019673,2.361249,0.148756,0.006399,2.516404,12.659297,15.702307,30.897974
9,0,0.020020,2.758241,0.103452,0.006799,2.868492,12.790759,15.713147,31.392791
10,0,0.022002,2.671345,0.156741,0.006340,2.834426,11.867663,15.691158,30.415733
11,0,0.021869,2.332738,0.153737,0.007289,2.493764,12.580126,15.771048,30.867224
12,0,0.020932,2.172200,0.126598,0.006999,2.305797,13.027304,15.788782,31.143209
13,0,0.024318,2.841333,0.170396,0.006082,3.017811,12.627750,15.709174,31.379451
14,0,0.022427,3.065182,0.162524,0.006977,3.234683,12.030000,15.557623,30.845084
15,0,0.045986,1.891509,0.079300,0.006882,1.977691,13.701775,15.588606,31.314322
16,0,0.019626,2.371453,0.080824,0.006982,2.459259,12.834644,15.630900,30.944865
17,0,0.020096,1.837854,0.139796,0.006935,1.984585,12.918100,15.733485,30.656648
18,0,0.020703,2.222006,0.085174,0.006730,2.313910,12.876225,15.705044,30.916344
19,0,0.020064,1.922453,0.081292,0.006643,2.010388,14.029862,14.766470,30.827186
20,0,0.020798,2.572669,0.118132,0.006812,2.697613,12.833526,15.784420,31.336799
21,0,0.021244,1.797253,0.075181,0.007202,1.879636,13.115476,15.702200,30.718960
22,0,0.020150,2.898382,0.145232,0.006836,3.050450,12.939324,15.753694,31.763971
23,0,0.019464,1.887294,0.104550,0.006946,1.998790,13.086233,15.808436,30.913351
24,0,0.020087,2.542012,0.162068,0.006755,2.710835,12.371890,15.641362,30.744552
25,0,0.024757,2.454659,0.087073,0.006475,2.548207,12.928428,15.684394,31.186168
26,0,0.020756,2.596461,0.084500,0.007081,2.688042,12.868044,14.750605,30.328044
27,0,0.021897,2.229662,0.194241,0.006715,2.430618,12.946667,15.616461,31.016172
28,0,0.022295,3.392051,0.142827,0.007088,3.541966,12.022621,15.596205,31.183570
29,0,0.042407,1.986017,0.152764,0.006224,2.145005,13.339675,16.576389,32.103834
30,0,0.020287,1.927034,0.115346,0.008450,2.050830,12.806296,15.663732,30.541635
31,0,0.026338,2.698748,0.085581,0.006692,2.791021,13.006171,14.726739,30.550794
32,0,0.020665,2.371283,0.079010,0.006646,2.456939,13.606784,15.677808,31.762712
33,0,0.018713,2.199905,0.082809,0.006869,2.289583,12.900029,15.701304,30.910000
34,0,0.030030,1.935980,0.169103,0.006476,2.111559,12.087184,15.858748,30.087964
35,0,0.019709,2.591258,0.087173,0.006839,2.685270,13.132569,15.590833,31.428779
36,0,0.020665,2.543943,0.152799,0.006234,2.702976,11.618413,15.579815,29.922346
37,0,0.021742,1.983490,0.174959,0.007007,2.165456,13.145751,15.688645,31.022011
38,0,0.023309,2.422151,0.081834,0.006872,2.510857,12.046815,15.584374,30.165799
39,0,0.018428,2.010336,0.095818,0.006798,2.112952,13.529686,15.582650,31.244264
40,0,0.019676,2.256984,0.074625,0.006909,2.338518,12.791281,15.697313,30.847060
41,0,0.020006,2.148848,0.096838,0.006591,2.252277,12.663771,15.641712,30.578114
42,0,0.018948,1.840919,0.096743,0.006540,1.944202,13.073635,16.545072,31.582292
43,0,0.020555,1.894282,0.077406,0.006960,1.978648,12.606493,15.619531,30.225789
44,0,0.032164,2.621820,0.154345,0.006670,2.782835,12.548930,15.599864,30.964231
