metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,1657,35.165743,0.021223,0.006571,0.897081
ants_advance,1657,3238.421326,1.954388,1.551290,3.634089
evaporation,1657,148.125118,0.089394,0.048081,0.697702
update,1657,13.337770,0.008049,0.006079,0.052750
advance_total,1657,3399.884214,2.051831,1.622648,3.714196
render,1657,22062.050789,13.314454,3.323203,23.117303
blit,1657,24200.699441,14.605129,0.275373,17.004177
iteration_total,1657,49698.846060,29.993269,14.503090,39.479045

meta_key,meta_value
total_iterations,1657
measured_iterations,1657
final_food_quantity,1
first_food_iteration,1647
