metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,2572,0.000000,0.000000,0.000000,0.000000
ants_advance,2572,1988.164333,0.773003,0.638305,2.108873
evaporation,2572,550.799753,0.214152,0.169782,0.749555
update,2572,8.841606,0.003438,0.002810,0.027933
advance_total,2572,2547.805692,0.990593,0.821519,2.364590
render,2572,0.000000,0.000000,0.000000,0.000000
blit,2572,0.000000,0.000000,0.000000,0.000000
iteration_total,2572,2548.017118,0.990675,0.821578,2.364780

meta_key,meta_value
total_iterations,2572
measured_iterations,2572
final_food_quantity,1
first_food_iteration,2562
