iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
63,0,0.021616,1.642890,0.350652,0.003134,1.996676,13.288694,15.660344,30.967805
64,0,0.020666,1.580078,0.312165,0.002822,1.895065,13.151893,15.528027,30.596062
65,0,0.016444,2.078726,0.287917,0.002948,2.369591,13.489686,15.657190,31.533260
66,0,0.017978,1.534337,0.383688,0.004669,1.922694,13.185041,15.670485,30.796607
67,0,0.018967,1.803565,0.346386,0.005690,2.155641,12.502286,15.610628,30.287937
68,0,0.019674,1.711983,0.348946,0.003620,2.064549,13.675701,15.652642,31.412916
69,0,0.021575,1.580581,0.282429,0.002609,1.865619,13.287665,15.532739,30.707980
70,0,0.018807,1.518924,0.346728,0.003224,1.868876,13.532020,15.825704,31.245785
71,0,0.019988,1.588807,0.296684,0.003108,1.888599,13.194120,15.633441,30.736580
72,0,0.019296,1.641903,0.361311,0.004318,2.007532,13.170788,15.658297,30.856275
73,0,0.021982,1.605711,0.298917,0.002672,1.907300,13.560110,15.667728,31.157577
74,0,0.020868,2.021281,0.615036,0.004542,2.640859,12.455187,15.679976,30.797246
75,0,0.018651,1.604982,0.310356,0.002712,1.918050,13.346226,15.556290,30.839707
76,0,0.021059,1.519842,0.353792,0.002947,1.876581,13.378466,15.664580,30.941103
77,0,0.019770,1.603213,0.293891,0.003163,1.900267,13.253610,15.622334,30.796350
78,0,0.021235,1.730675,0.369958,0.003340,2.103973,13.416410,14.739607,30.281628
79,0,0.019345,1.549625,0.316582,0.002744,1.868951,13.432443,15.594857,30.915975
80,0,0.021443,1.625336,0.357887,0.002945,1.986168,14.175593,14.727884,30.911470
81,0,0.019335,2.294626,0.292683,0.002783,2.590092,13.256266,15.598716,31.464784
82,0,0.020637,1.527048,0.348497,0.003094,1.878639,13.423633,15.589843,30.913154
83,0,0.025149,1.819973,0.308433,0.002733,2.131139,13.144721,15.576658,30.878314
84,0,0.021117,1.549916,0.413976,0.003869,1.967761,13.358983,15.594752,30.942962
85,0,0.020001,1.822064,0.285657,0.003078,2.110799,13.297126,15.700738,31.129032
86,0,0.018432,1.493370,0.326133,0.003087,1.822590,13.348543,15.599763,30.789760
87,0,0.018850,1.617338,0.291985,0.002563,1.911886,13.447512,15.595871,30.974361
88,0,0.021945,1.599067,0.383301,0.003566,1.985934,13.222971,15.504115,30.735324
89,0,0.017553,1.505201,0.309450,0.002671,1.817322,13.572881,15.571813,30.980039
90,0,0.023949,1.796576,0.305778,0.002817,2.105171,12.722872,15.539583,30.391985
91,0,0.025643,1.660378,0.354657,0.002743,2.017778,13.687634,15.559733,31.291268
92,0,0.017788,1.532880,0.314529,0.002576,1.849985,13.298986,16.558503,31.725632
93,0,0.019318,1.493189,0.327630,0.002877,1.823696,12.977544,14.549364,29.370331
94,0,0.018891,1.538145,0.407681,0.002793,1.948619,13.330049,15.584672,30.882639
95,0,0.018542,1.508148,0.301033,0.002826,1.812007,13.434873,15.622945,30.888958
96,0,0.019548,1.598694,0.354310,0.002610,1.955614,13.728477,15.546973,31.251010
97,0,0.019422,1.611089,0.324933,0.002586,1.938608,13.182714,15.532038,30.673161
98,0,0.016857,1.484612,0.334464,0.002609,1.821685,13.317258,16.520107,31.676262
99,0,0.019054,1.610300,0.297834,0.004465,1.912599,12.459724,15.572053,29.963827
100,0,0.019208,1.609135,0.373423,0.005780,1.988338,13.355185,15.862804,31.225907
101,0,0.022115,2.424189,0.395050,0.003666,2.822905,12.861176,15.709514,31.416211
102,0,0.022110,1.854653,0.320363,0.002634,2.177650,13.123462,15.620723,30.944407
103,0,0.017420,2.060103,0.326333,0.003169,2.389605,12.514579,15.714815,30.636831
104,0,0.025178,1.788674,0.322600,0.002941,2.114215,12.531728,15.645444,30.316920
105,0,0.019227,1.481968,0.287959,0.002600,1.772527,13.504863,15.541904,30.838908
106,0,0.019102,1.451140,0.329452,0.002893,1.783485,14.090344,15.584866,31.478162
107,0,0.019458,1.437512,0.372427,0.003357,1.813296,13.223248,15.648998,30.705339
108,0,0.020056,1.522612,0.366041,0.008204,1.896857,13.342901,15.644638,30.904911
109,0,0.018770,1.599389,0.288172,0.002847,1.890408,13.362673,15.683248,30.955490
110,0,0.022703,2.830947,0.574197,0.007718,3.412862,11.260889,16.604046,31.300924
111,0,0.018430,1.453398,0.406761,0.003370,1.863529,13.126442,15.624920,30.633752
112,0,0.014086,1.467151,0.337258,0.004071,1.808480,13.064627,15.998428,30.886004
113,0,0.030963,1.703583,0.348828,0.002701,2.055112,12.828102,15.773829,30.688440
114,0,0.026425,2.466812,0.453326,0.007242,2.927380,11.846717,15.655908,30.456885
115,0,0.019644,1.722237,0.402060,0.003563,2.127860,13.067835,16.649904,31.865727
116,0,0.024576,2.416792,0.548772,0.007710,2.973274,11.842700,15.629526,30.470446
117,0,0.023221,1.676021,0.283735,0.002720,1.962476,12.813585,15.694187,30.493965
118,0,0.021659,1.797982,0.429042,0.006859,2.233883,12.912957,15.592244,30.761153
119,0,0.019834,1.502728,0.307637,0.002983,1.813348,13.718976,15.599672,31.152204
120,0,0.044476,1.734285,0.345168,0.003903,2.083356,12.829170,15.714499,30.671964
121,0,0.022937,1.787341,0.332755,0.003028,2.123124,12.910537,16.614747,31.671775
122,0,0.022721,1.698276,0.383748,0.003178,2.085202,12.391347,15.824239,30.323947
123,0,0.026170,1.643523,0.303328,0.003110,1.949961,12.922875,15.681672,30.581130
124,0,0.020471,1.644833,0.344557,0.002805,1.992195,2.990528,11.745366,16.748978
125,0,0.020744,1.903512,0.290245,0.002542,2.196299,11.533476,15.743440,29.494384
126,0,0.051304,1.633255,0.431201,0.007585,2.072041,13.305158,15.623895,31.052893
127,0,0.023235,1.606539,0.332097,0.002822,1.941458,13.287517,15.637580,30.890212
128,0,0.019557,1.547498,0.406325,0.003058,1.956881,13.382243,15.616745,30.975797
129,0,0.019845,1.511538,0.352836,0.002874,1.867248,13.467886,15.587821,30.943351
130,0,0.019813,1.646077,0.386438,0.003207,2.035722,13.429773,15.665430,31.151110
131,0,0.020915,1.544366,0.342100,0.002731,1.889197,13.492589,15.603656,31.006751
132,0,0.020793,1.500355,0.372304,0.002784,1.875443,13.313449,15.625806,30.835859
133,0,0.020674,1.596435,0.314458,0.002743,1.913636,13.353844,15.796844,31.085420
134,0,0.021075,1.543771,0.367633,0.003844,1.915248,13.177101,15.600098,30.713900
135,0,0.017062,1.821723,0.313727,0.002982,2.138432,12.540691,15.626518,30.323080
136,0,0.022157,2.298142,0.453275,0.006335,2.757752,12.822386,15.749541,31.352288
137,0,0.019317,2.547775,0.396195,0.004046,2.948016,12.519129,15.632346,31.119180
138,0,0.019327,2.244568,0.393151,0.006780,2.644499,12.459173,15.867765,30.991100
139,0,0.018721,1.552987,0.398989,0.005702,1.957678,12.464422,15.638426,30.079711
140,0,0.051215,1.759525,0.527477,0.002804,2.289806,12.920167,15.582478,30.844050
141,0,0.018851,1.712001,0.340836,0.005967,2.058804,13.537118,15.622922,31.238148
142,0,0.017907,1.737657,0.451841,0.003439,2.192937,12.756162,15.620287,30.587662
143,0,0.025432,1.673158,0.301363,0.002712,1.977233,13.405241,15.661357,31.069719
144,0,0.021641,1.530595,0.329926,0.002727,1.863248,13.312687,15.836684,31.034625
145,0,0.019537,1.746058,0.367318,0.003197,2.116573,12.806360,15.757142,30.700085
146,0,0.023649,1.854973,0.363449,0.003032,2.221454,13.783154,14.705218,30.733867
147,0,0.020389,1.943672,0.358433,0.003774,2.305879,12.940362,15.689266,30.956330
148,0,0.030798,2.088512,0.531250,0.012533,2.632295,12.530888,15.689814,30.884225
149,0,0.025545,2.166874,0.411693,0.005464,2.584031,13.101703,15.866556,31.578258
150,0,0.020390,1.637376,0.532632,0.003172,2.173180,12.121853,16.587804,30.903725
