iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
63,0,0.017044,1.693438,0.203286,0.004200,1.900924,13.744183,15.613467,31.276111
64,0,0.015251,1.540859,0.213817,0.003836,1.758512,14.196180,14.748589,30.718892
65,0,0.017376,1.525296,0.226463,0.004612,1.756371,14.367257,14.764530,30.906049
66,0,0.014979,1.893042,0.242040,0.004862,2.139944,13.605684,15.689734,31.450770
67,0,0.030036,1.802818,0.227296,0.004135,2.034249,13.283022,15.747582,31.095620
68,0,0.274181,2.542317,0.213063,0.004086,2.759466,12.622287,14.725696,30.382221
69,0,0.017274,1.556831,0.232599,0.003889,1.793319,14.125306,15.965925,31.902217
70,0,0.015195,1.542937,0.227773,0.003883,1.774593,12.603758,16.567300,30.961238
71,0,0.014267,1.523175,0.247139,0.006431,1.776745,13.215035,15.687843,30.694307
72,0,0.014981,1.589653,0.199683,0.003628,1.792964,13.513508,15.625773,30.947617
73,0,0.022928,1.715420,0.210861,0.004216,1.930497,13.397296,15.664763,31.015857
74,0,0.014915,1.572784,0.220827,0.004096,1.797707,13.092068,14.635993,29.540949
75,0,0.014809,1.616895,0.305014,0.004537,1.926446,13.312073,15.652461,30.906157
76,0,0.014357,1.485046,0.284969,0.006040,1.776055,14.402880,15.574353,31.768029
77,0,0.014743,1.572045,0.225900,0.003879,1.801824,13.354085,15.566443,30.737561
78,0,0.016641,1.738437,0.213884,0.004269,1.956590,13.575491,15.559937,31.109036
79,0,0.013912,1.626697,0.202239,0.004079,1.833015,13.529499,15.625226,31.002229
80,0,0.012688,1.455565,0.222557,0.004510,1.682632,13.202049,15.618851,30.516656
81,0,0.014822,1.505022,0.264294,0.003713,1.773029,13.283103,16.600423,31.671739
82,0,0.015302,1.494066,0.223683,0.004060,1.721809,13.170276,15.685860,30.593506
83,0,0.013453,1.524729,0.260787,0.003862,1.789378,13.460475,15.571183,30.834935
84,0,0.017063,1.562401,0.254186,0.004194,1.820781,13.537346,15.636306,31.011853
85,0,0.014983,1.605283,0.251100,0.005044,1.861427,13.270736,15.661795,30.809331
86,0,0.015289,1.510812,0.250195,0.004507,1.765514,14.292845,15.499727,31.573741
87,0,0.015004,1.522091,0.221497,0.004212,1.747800,13.459071,15.713697,30.935971
88,0,0.015201,1.540323,0.220553,0.004681,1.765557,13.182005,15.613517,30.576798
89,0,0.015308,1.601558,0.224846,0.004064,1.830468,13.429356,15.541674,30.817204
90,0,0.015295,1.608341,0.200323,0.003659,1.812323,13.422507,15.602181,30.852734
