metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,716,15.414437,0.021529,0.006748,1.851668
ants_advance,716,9212.809965,12.867053,8.857413,25.520468
evaporation,716,70.378461,0.098294,0.053621,0.435950
update,716,7.800967,0.010895,0.002633,0.114513
advance_total,716,9268.456550,12.944772,8.895889,25.617449
render,716,24420.083371,34.106262,15.272634,90.714848
blit,716,5862.477266,8.187817,0.517777,16.786317
iteration_total,716,46341.994868,64.723457,44.003003,123.731676
mpi_halo_exchange,716,209.837329,0.293069,0.200536,3.409338
mpi_migration,716,3355.005839,4.685762,0.560014,17.065375
mpi_food_allreduce,716,2.292514,0.003202,0.001578,0.074446
mpi_render_comm,716,6270.490829,8.757669,4.311874,15.446986
mpi_total_comm,716,8206.542778,11.461652,6.452815,25.315793

meta_key,meta_value
total_iterations,716
measured_iterations,716
final_food_quantity,20
first_food_iteration,706
