metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,849,15.815927,0.018629,0.006799,1.066874
ants_advance,849,1863.774706,2.195259,1.076545,15.194892
evaporation,849,539.206514,0.635108,0.039789,11.864584
update,849,4.279464,0.005041,0.002580,0.097696
advance_total,849,2086.091849,2.457116,1.120888,24.120745
render,849,15167.269593,17.864864,4.278686,63.035037
blit,849,8865.762493,10.442594,0.346270,17.004265
iteration_total,849,31643.608032,37.271623,28.954994,93.540478
mpi_halo_exchange,849,185.633919,0.218650,0.154644,1.224504
mpi_migration,849,1055.282587,1.242971,0.078084,20.168482
mpi_food_allreduce,849,1.849835,0.002179,0.000909,0.025518
mpi_render_comm,849,5363.982968,6.318001,3.953520,32.560816
mpi_total_comm,849,6368.125560,7.500737,4.441694,33.716106

meta_key,meta_value
total_iterations,849
measured_iterations,849
final_food_quantity,1
first_food_iteration,839
