metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,716,14.307851,0.019983,0.006937,0.832205
ants_advance,716,2188.339093,3.056340,1.605307,4.460097
evaporation,716,44.931231,0.062753,0.030160,1.049093
update,716,1.006641,0.001406,0.000546,0.022561
advance_total,716,2225.655109,3.108457,1.635791,4.529045
render,716,20957.802230,29.270674,5.990843,98.195085
blit,716,6711.859994,9.374106,0.466144,16.831792
iteration_total,716,34617.420461,48.348353,29.239581,109.924852
mpi_halo_exchange,716,160.741689,0.224500,0.154431,0.939401
mpi_migration,716,1460.791865,2.040212,0.713650,3.283545
mpi_food_allreduce,716,1.804129,0.002520,0.001178,0.033392
mpi_render_comm,716,4474.063728,6.248692,4.521511,11.756533
mpi_total_comm,716,5199.158482,7.261395,4.753247,13.270656

meta_key,meta_value
total_iterations,716
measured_iterations,716
final_food_quantity,4
first_food_iteration,706
