iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,1.251661,4.787258,0.052958,0.004869,4.843549,36.982694,16.419537,68.561623,1.426569,6.297999,0.002415,7.748337,11.998725
2,0,0.019019,1.414028,0.050026,0.004870,1.461053,6.929548,13.144692,29.954090,0.183601,1.026002,0.002976,7.739015,8.522831
3,0,0.027987,1.314630,0.045055,0.005050,1.364248,7.168701,15.875136,31.118479,0.263023,0.745531,0.066391,6.305331,6.622110
4,0,0.027073,1.308231,0.051690,0.003794,1.347356,5.610613,12.689919,30.517971,0.308803,0.656287,0.002552,10.460832,10.898823
5,0,0.016329,1.572750,0.281335,0.002138,1.622317,7.053457,15.610112,31.312241,0.170346,1.208282,0.002437,6.721913,8.087140
6,0,0.019221,1.056040,0.046450,0.004142,1.102896,7.495633,13.234203,30.543371,0.188845,0.430733,0.002213,8.415045,8.999349
7,0,0.023591,1.114848,0.071673,0.004405,1.179257,6.614238,12.702893,30.624140,0.203523,0.511691,0.002327,9.806670,10.135843
8,0,0.025943,1.157733,0.073426,0.004274,1.196530,7.786538,15.034635,30.834895,0.209924,1.056769,0.002268,6.143997,6.730174
9,0,0.021236,1.095108,0.062533,0.003434,1.134503,6.180188,15.965043,31.060064,0.221726,0.564531,0.002245,7.443804,7.954851
10,0,0.019790,1.384187,0.050537,0.003807,1.437912,6.581076,15.814856,30.363592,0.195544,0.587594,0.002724,6.188356,6.949322
11,0,0.022232,1.993279,0.049747,0.002310,2.038618,5.471027,14.069099,30.237099,0.178062,1.361117,0.001992,8.373092,8.870026
12,0,0.020995,1.107496,0.046799,0.001624,1.155805,7.870787,15.055536,30.776356,0.218095,0.671339,0.003489,6.460324,7.144289
13,0,0.026255,1.076707,0.100661,0.002254,1.131075,8.665671,15.674113,31.209524,0.185672,0.596686,0.002625,5.474650,6.103086
14,0,0.021237,1.113806,0.045352,0.001967,1.153931,6.816810,12.996300,30.654564,0.202380,0.508503,0.002577,9.383207,9.673400
15,0,0.023838,1.130956,0.059315,0.008462,1.191820,5.843778,16.067710,30.878699,0.232048,0.594876,0.002346,7.481230,7.693187
16,0,0.024300,1.043940,0.065827,0.001754,1.080101,7.534622,15.103115,30.192389,0.230289,0.639495,0.002643,6.102456,6.516187
17,0,0.020287,1.157424,0.040457,0.001880,1.199533,7.561653,16.379402,31.425526,0.189238,0.590235,0.002317,5.995718,6.456961
18,0,0.025344,1.152113,0.104205,0.001791,1.209186,5.934310,14.085688,30.618173,0.182778,0.750772,0.002461,8.813193,9.236673
19,0,0.016373,1.707137,0.064504,0.009223,1.761444,5.421082,12.597596,30.373984,0.397582,1.319868,0.002894,10.062043,11.467286
