metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,849,17.465199,0.020571,0.007273,1.954928
ants_advance,849,1083.214553,1.275871,0.826662,2.729975
evaporation,849,41.620855,0.049023,0.023430,0.237122
update,849,1.154931,0.001360,0.000528,0.017406
advance_total,849,1117.699079,1.316489,0.849408,2.745618
render,849,19002.791843,22.382558,4.129705,83.506748
blit,849,9153.931341,10.782016,0.528087,17.003609
iteration_total,849,35097.781684,41.340143,16.001170,109.686896
mpi_halo_exchange,849,170.385987,0.200690,0.125885,2.090343
mpi_migration,849,802.446521,0.945167,0.414914,2.952924
mpi_food_allreduce,849,1.895680,0.002233,0.000914,0.029022
mpi_render_comm,849,5591.812824,6.586352,3.936710,16.282781
mpi_total_comm,849,6073.555046,7.153775,4.204302,16.929293

meta_key,meta_value
total_iterations,849
measured_iterations,849
final_food_quantity,1
first_food_iteration,839
