iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,1.595392,2.125033,0.042332,0.001239,2.165667,29.378086,16.725024,55.512398,1.657672,2.226285,0.001838,6.194766,6.909973
2,0,0.024999,2.253248,0.066654,0.001530,2.299001,16.068174,15.967675,45.825119,0.316563,1.712419,0.003753,10.769407,12.493988
3,0,0.020140,2.230881,0.065852,0.001560,2.285110,9.266915,7.853794,29.864774,0.212522,1.438285,0.001956,10.115058,11.452640
4,0,0.022378,2.130167,0.037011,0.001058,2.158858,12.757036,7.781408,30.997368,0.207479,1.338897,0.002251,7.955180,8.388353
5,0,0.027951,2.327931,0.052440,0.000944,2.381315,15.239439,3.706818,30.280064,0.200832,1.823247,0.002986,8.589937,9.798656
6,0,0.018312,1.989547,0.051519,0.002022,2.037003,14.281124,3.709553,30.920356,0.197649,1.436420,0.002229,10.458494,11.183042
7,0,0.015787,2.244200,0.044706,0.001435,2.284238,7.598846,11.957234,30.725534,0.267274,1.620363,0.002482,8.467998,8.762096
8,0,0.021210,2.226991,0.052190,0.001697,2.272409,8.594964,11.584794,30.847889,0.194761,1.802110,0.002154,7.945989,8.674082
9,0,0.019123,2.132769,0.072122,0.001437,2.206272,9.274138,12.725757,31.212699,0.210027,1.801187,0.001969,6.543798,8.513429
10,0,0.020374,1.999087,0.038379,0.001130,2.017329,12.662833,4.728045,30.283444,0.177156,1.540029,0.002260,10.439476,11.021440
11,0,0.022723,2.217972,0.031367,0.001757,2.247692,10.074703,13.586500,31.579791,0.221942,1.635403,0.001932,5.350267,6.372985
12,0,0.028206,2.202107,0.046580,0.001426,2.243537,9.429118,10.467982,30.937044,0.698031,1.475373,0.001968,8.463965,9.538684
13,0,0.020515,1.944097,0.065599,0.001850,1.978793,10.793250,6.970424,30.364310,0.162730,1.425392,0.002427,10.295777,10.787457
14,0,0.018148,1.718538,0.027512,0.003316,1.746537,15.948961,4.537529,30.675071,0.247303,0.858182,0.002579,8.102766,8.966406
15,0,0.016471,2.175575,0.040980,0.001370,2.210934,12.768927,6.062602,31.488678,0.154989,1.600719,0.002246,10.124799,10.345140
16,0,0.019032,2.205510,0.053870,0.001637,2.238445,15.254244,3.072444,30.328818,0.163968,1.775373,0.003384,9.386684,9.661956
