iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,1.280202,5.854391,0.099010,0.004976,5.958377,36.104000,16.233111,71.100980,1.429750,6.275753,0.002956,10.900541,12.325102
2,0,0.036137,2.117754,0.046029,0.003009,2.157867,7.778401,9.122050,30.795782,0.260306,1.010734,0.002458,11.302417,11.698471
3,0,0.018722,1.859074,0.046382,0.003347,1.905929,7.788659,12.735451,30.260168,0.712052,0.673614,0.003544,7.404768,8.165755
4,0,0.024124,1.709975,0.047510,0.003422,1.748405,13.737194,9.003208,31.336685,0.256977,0.826292,0.002613,6.447475,6.760363
5,0,0.015698,1.931650,0.046969,0.001804,1.965608,12.185235,8.603118,29.937654,0.209962,0.847982,0.002109,6.856585,7.591516
6,0,0.016585,1.794962,0.050008,0.003598,1.837037,6.644100,16.615326,31.473182,0.191145,1.262025,0.002151,6.056183,6.639081
7,0,0.019863,1.858956,0.053211,0.004765,1.907208,7.791718,11.639865,30.378620,0.188029,1.117834,0.002856,8.611230,9.820627
8,0,0.023389,2.536014,0.045942,0.002606,2.581424,9.330116,9.609252,30.410310,0.208939,1.391937,0.002338,8.390873,8.652356
9,0,0.019741,1.932433,0.047369,0.003517,1.982918,13.680876,9.101108,30.669140,0.186151,0.862654,0.001983,5.614110,6.365701
10,0,0.020825,1.713417,0.052065,0.002152,1.757875,9.900137,8.194036,30.832298,0.206160,0.920004,0.002850,10.623210,10.884231
11,0,0.015806,2.290961,0.057035,0.004758,2.352754,13.309930,8.025673,31.070137,0.196492,1.167453,0.003069,7.092548,8.054290
12,0,0.018377,1.943203,0.068028,0.004518,1.983135,8.689379,10.614626,30.548266,0.190430,0.925906,0.004550,8.832877,9.059466
13,0,0.018385,1.825713,0.044338,0.004270,1.873670,10.254200,12.673454,30.496346,0.154243,0.808169,0.002426,5.389032,5.798038
14,0,0.017187,1.768408,0.466291,0.001844,1.817598,7.209809,16.602394,31.699957,0.195254,0.668910,0.001948,5.738364,6.528327
15,0,0.027840,2.143907,0.053726,0.001592,2.185780,8.812749,12.608923,30.139506,0.279612,1.162038,0.002146,6.166039,6.935735
16,0,0.022955,1.831553,0.049778,0.001729,1.882233,9.184503,11.051031,30.796708,0.263579,0.981413,0.002777,8.083795,9.031892
17,0,0.022810,1.934259,0.065091,0.005830,1.993823,7.619172,12.296335,30.737613,0.210465,1.199935,0.002717,8.374481,8.666499
