metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,1318,28.592206,0.021694,0.006447,0.931274
ants_advance,1318,1141.506801,0.866090,0.534145,2.139604
evaporation,1318,70.608152,0.053572,0.029094,0.333446
update,1318,2.895590,0.002197,0.000545,1.123928
advance_total,1318,1206.414662,0.915337,0.567913,2.217603
render,1318,19525.425524,14.814435,3.485219,51.442994
blit,1318,15361.733892,11.655337,0.538356,16.967609
iteration_total,1318,44606.675149,33.844215,16.340534,64.197706
mpi_halo_exchange,1318,273.435014,0.207462,0.129839,2.304390
mpi_migration,1318,817.272783,0.620086,0.251976,2.438431
mpi_food_allreduce,1318,3.282378,0.002490,0.001223,0.061655
mpi_render_comm,1318,8161.119004,6.192048,4.056251,10.864801
mpi_total_comm,1318,8834.922380,6.703279,4.707218,11.723978

meta_key,meta_value
total_iterations,1318
measured_iterations,1318
final_food_quantity,3
first_food_iteration,1308
