metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,716,26.263201,0.036680,0.007500,8.154655
ants_advance,716,10321.001161,14.414806,5.882214,37.945410
evaporation,716,4866.281385,6.796482,0.569849,17.753012
update,716,30.950652,0.043227,0.002708,3.564694
advance_total,716,12898.774281,18.015048,6.014449,46.382007
render,716,24930.244195,34.818777,10.523062,98.099231
blit,716,6028.117118,8.419158,0.543053,17.110987
iteration_total,716,53936.779992,75.330698,44.619005,154.127897
mpi_halo_exchange,716,292.265941,0.408193,0.141282,11.636512
mpi_migration,716,8613.713551,12.030326,2.591644,70.850187
mpi_food_allreduce,716,3.177744,0.004438,0.001685,0.459478
mpi_render_comm,716,9806.963735,13.696877,5.712152,45.109492
mpi_total_comm,716,15914.660440,22.227179,7.639406,89.412106

meta_key,meta_value
total_iterations,716
measured_iterations,716
final_food_quantity,10
first_food_iteration,706
