metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,849,14.718524,0.017336,0.006390,0.976515
ants_advance,849,9438.847340,11.117606,3.967143,51.817271
evaporation,849,6221.201576,7.327681,2.462629,16.050498
update,849,9.078470,0.010693,0.001928,0.058371
advance_total,849,12834.800530,15.117551,4.099537,51.878166
render,849,17258.050947,20.327504,4.161124,78.808866
blit,849,7852.482939,9.249097,0.520131,16.800252
iteration_total,849,46150.162488,54.358260,29.504196,123.203319
mpi_halo_exchange,849,202.032211,0.237965,0.136847,12.734083
mpi_migration,849,8745.221267,10.300614,3.383995,55.006458
mpi_food_allreduce,849,2.072006,0.002441,0.001217,0.035182
mpi_render_comm,849,9340.662184,11.001958,5.162357,21.236603
mpi_total_comm,849,15842.593713,18.660299,7.847693,64.973256

meta_key,meta_value
total_iterations,849
measured_iterations,849
final_food_quantity,1
first_food_iteration,839
