iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,1.079482,6.820796,0.157242,0.009132,6.987170,35.723692,15.976433,68.616382,1.274817,2.431271,0.002480,8.320532,11.091658
2,0,0.026175,5.224001,0.168281,0.010069,5.354651,9.616277,7.747021,30.083031,0.291232,0.534251,0.002342,6.935340,7.750484
3,0,0.021603,4.706407,0.171150,0.005738,4.880205,9.220437,8.839603,30.489717,0.290257,0.465533,0.002836,7.179341,7.921369
4,0,0.017794,5.520688,0.163720,0.008982,5.688247,8.395146,9.641393,30.835394,0.323047,0.652293,0.002638,6.699266,7.030465
5,0,0.018784,5.331046,0.155983,0.004863,5.452379,8.327021,9.654178,30.337507,0.314003,1.716873,0.002548,6.467926,8.481715
6,0,0.021543,4.422628,0.148569,0.008835,4.544662,8.637191,9.610643,31.352892,0.325751,0.377423,0.003441,8.105635,8.794400
7,0,0.024395,4.717626,0.135006,0.031561,4.882762,9.637889,7.782657,30.506107,0.602070,0.692637,0.003195,7.513058,8.799984
8,0,0.022350,4.959491,0.199122,0.008492,5.161530,9.172806,10.689491,31.066318,0.298240,1.207363,0.002572,5.658437,7.150811
9,0,0.022146,5.411304,0.294259,0.008535,5.713921,9.673975,6.655125,30.171624,0.328643,1.467451,0.002999,7.766642,9.543840
10,0,0.022350,5.056481,0.184575,0.006809,5.215549,8.131809,11.641976,31.268752,0.323971,0.657710,0.002650,5.852272,6.818441
11,0,0.023973,4.451175,0.137697,0.008668,4.589900,7.408026,11.804484,30.454639,0.300465,0.113633,0.002049,6.250862,6.589638
12,0,0.020663,3.984150,0.179160,0.009921,4.127343,7.219695,11.842901,30.150850,0.298533,0.346129,0.002114,6.530442,7.153191
13,0,0.018597,4.575573,0.152487,0.007754,4.728988,9.180576,9.719086,31.212191,0.324917,0.512736,0.005256,7.181634,8.012254
14,0,0.019886,5.180020,0.152120,0.014820,5.346536,8.004795,9.625821,30.855647,0.401866,1.068478,0.003176,7.400197,8.854302
15,0,0.020490,4.643628,0.208485,0.009525,4.859253,8.400560,10.639300,30.916388,0.357815,0.076981,0.002172,6.559434,6.952127
16,0,0.020529,4.141831,0.150455,0.012076,4.304362,8.083468,11.652968,30.073386,0.299627,0.548498,0.002309,5.658876,6.498812
17,0,0.020498,4.611894,0.140498,0.006541,4.758933,9.813051,9.729109,30.637992,0.332150,0.410488,0.002438,5.912082,6.638723
18,0,0.017699,4.401849,0.153401,0.009380,4.550424,7.805456,12.617716,31.144356,0.279526,0.233041,0.003037,5.796789,6.299983
19,0,0.019279,3.942541,0.127651,0.002815,4.072869,7.592096,12.677671,30.502537,0.289422,0.232459,0.002476,5.801590,6.104748
20,0,0.021018,4.777436,0.286205,0.006991,4.942013,11.504430,6.600219,30.297456,0.297958,1.059731,0.002810,6.717674,8.062965
21,0,0.020982,4.901438,0.175370,0.009826,5.045710,7.050902,12.614462,31.472589,0.285845,0.606784,0.002822,6.269155,6.666900
22,0,0.021192,5.889974,0.170990,0.007201,6.068061,12.757867,15.800501,44.831050,0.434243,0.331384,0.003068,9.647885,10.401407
23,0,0.026623,7.351615,0.209137,0.009410,7.556048,10.922110,3.827001,30.097183,0.412438,2.226683,0.002798,7.244327,9.871087
24,0,0.020687,4.382549,0.187744,0.010149,4.580442,7.264012,12.574069,30.810365,0.319326,0.342199,0.002376,5.908710,6.561385
25,0,0.020456,3.900452,0.206774,0.005095,4.039548,7.322786,12.883859,31.075665,0.298657,0.179043,0.002106,6.399616,6.859102
26,0,0.018594,4.434249,0.143947,0.011588,4.589784,6.897231,12.707130,30.461400,0.274726,0.218364,0.002217,5.934377,6.215052
27,0,0.024813,4.213112,0.225255,0.025579,4.463946,7.358201,13.559993,31.307192,0.286168,0.344135,0.005809,5.638328,6.262404
28,0,0.021002,4.547684,0.226465,0.021421,4.732955,8.384786,10.652107,30.889103,0.367694,0.557582,0.002629,6.606060,7.519619
29,0,0.021554,4.322728,0.137665,0.007989,4.468382,8.306759,10.610867,30.621907,0.288212,0.533449,0.002475,6.837757,7.141304
30,0,0.028987,3.954458,0.147701,0.009840,4.111999,8.201138,11.594746,30.817826,0.317036,0.385671,0.002927,6.497396,6.816199
31,0,0.023497,4.619904,0.199090,0.021633,4.808449,9.914364,9.544942,31.102154,0.296306,0.423935,0.003131,6.461315,6.772745
32,0,0.031587,5.590129,0.212440,0.004451,5.807020,8.641716,9.687419,30.530759,0.368972,1.387193,0.002311,5.985859,7.711741
33,0,0.016241,4.092681,0.206031,0.009310,4.307837,7.293124,12.631082,30.375914,0.335664,0.592888,0.002960,5.722336,6.088659
34,0,0.021887,5.353854,0.353406,0.025210,5.732470,7.817215,11.710848,30.688735,0.285328,1.530718,0.002141,5.300488,7.103616
35,0,0.018604,4.873556,0.179676,0.012497,5.065729,9.425478,9.776994,31.098859,0.288912,0.717846,0.002522,6.470176,7.465672
36,0,0.017906,4.030952,0.188557,0.009105,4.228614,7.576676,11.550084,30.665004,0.284640,0.166804,0.002680,6.788740,7.090835
37,0,0.017413,4.045380,0.132963,0.008225,4.174486,6.993604,13.613111,31.040555,0.292019,0.211225,0.002824,5.892867,6.383887
38,0,0.017296,4.225515,0.187556,0.007168,4.420239,8.523597,11.602958,30.603904,0.298471,0.765288,0.003236,5.775069,6.826874
39,0,0.022594,4.434417,0.213495,0.009661,4.657573,8.648616,10.588264,30.105646,0.441693,0.585134,0.002206,5.737601,6.766634
40,0,0.019342,4.303686,0.214243,0.010841,4.526731,7.167424,14.669390,31.481428,0.297469,0.192343,0.002242,4.815105,5.296910
41,0,0.024843,5.049916,0.209552,0.006334,5.232576,8.841486,9.518956,29.801572,0.316143,0.387738,0.002119,5.754269,6.452385
42,0,0.015012,4.422577,0.173548,0.009107,4.603999,6.779840,14.562428,31.757561,0.486174,0.234086,0.002120,5.268342,5.969526
43,0,0.018750,4.654564,0.144144,0.007472,4.806180,7.031734,12.609110,30.327598,0.293196,0.496144,0.002422,5.464345,5.814597
44,0,0.017186,4.209750,0.184197,0.008933,4.402880,7.744128,11.514921,30.348511,0.278688,0.657941,0.002016,6.342293,6.636681
45,0,0.016474,4.284292,0.178850,0.030987,4.489432,7.885397,12.660240,30.647934,0.299713,0.368359,0.003274,5.254054,5.562483
46,0,0.023618,3.974632,0.145361,0.010147,4.123283,7.455550,14.634859,31.408079,0.281538,0.336296,0.001287,4.846972,5.449111
47,0,0.022189,4.066344,0.120925,0.002670,4.178544,8.089999,12.579478,30.158899,0.283760,0.648660,0.001564,4.953594,5.868118
48,0,0.029494,3.944999,0.126459,0.006262,4.062074,8.775888,11.523507,30.435045,0.366635,0.086580,0.001882,5.596603,6.034742
49,0,0.015073,4.341253,0.143502,0.003018,4.487322,6.820334,14.562095,30.944639,0.299961,0.626757,0.001877,4.735145,5.654586
50,0,0.017311,4.379449,0.134693,0.008511,4.516935,6.920635,13.529689,30.807916,0.292289,0.202675,0.001883,5.456606,5.935195
51,0,0.021157,3.644578,0.193320,0.013188,3.851086,7.638095,13.527433,30.917335,0.303060,0.175952,0.002123,5.482093,5.848344
