metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,860,0.000000,0.000000,0.000000,0.000000
ants_advance,860,2254.388394,2.621382,1.743349,9.199688
evaporation,860,58.366906,0.067868,0.040349,4.074291
update,860,5.041482,0.005862,0.001838,0.092744
advance_total,860,2309.155261,2.685064,1.794824,9.284228
render,860,0.000000,0.000000,0.000000,0.000000
blit,860,0.000000,0.000000,0.000000,0.000000
iteration_total,860,2431.715907,2.827577,1.855294,9.622043
mpi_halo_exchange,860,20.014710,0.023273,0.012717,0.136492
mpi_migration,860,890.038325,1.034928,0.047126,7.038336
mpi_food_allreduce,860,13.707612,0.015939,0.000874,0.219853
mpi_render_comm,860,0.000000,0.000000,0.000000,0.000000
mpi_total_comm,860,915.549118,1.064592,0.091811,7.070290

meta_key,meta_value
total_iterations,860
measured_iterations,860
final_food_quantity,2
first_food_iteration,850
