metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,1318,25.156249,0.019087,0.006847,0.638490
ants_advance,1318,1880.793931,1.427006,0.952362,2.920418
evaporation,1318,238.191543,0.180722,0.098705,0.672940
update,1318,13.451210,0.010206,0.002186,0.104941
advance_total,1318,2110.125929,1.601006,1.077328,3.116314
render,1318,15488.266050,11.751340,4.854771,33.072647
blit,1318,16684.688157,12.659096,0.470197,16.782840
iteration_total,1318,41035.139932,31.134401,15.907198,59.406073
mpi_halo_exchange,1318,410.681394,0.311594,0.264265,0.915821
mpi_migration,1318,296.860771,0.225236,0.020962,1.580970
mpi_food_allreduce,1318,2.625400,0.001992,0.000979,0.035789
mpi_render_comm,1318,6270.032336,4.757232,3.777640,8.258158
mpi_total_comm,1318,6922.973978,5.252636,4.220759,8.709745

meta_key,meta_value
total_iterations,1318
measured_iterations,1318
final_food_quantity,3
first_food_iteration,1308
