iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,0.705500,8.339933,0.048651,0.004415,8.384259,43.668263,15.494446,78.693142,0.789776,6.983792,0.003467,8.677779,15.065757
2,0,0.022249,3.725595,0.055398,0.007781,3.751752,13.766848,1.090654,29.163058,0.179383,2.187869,0.002871,10.006167,12.344085
3,0,0.011281,3.840708,0.052841,0.004549,3.893765,10.454375,6.641555,30.893010,0.204015,2.302478,0.004071,9.375366,9.750273
4,0,0.021775,3.851966,0.066498,0.005569,3.906359,10.215242,9.749771,31.166358,0.203025,1.910902,0.002740,6.832577,7.164804
5,0,0.018483,3.888347,0.054330,0.003555,3.931214,9.755890,11.052412,30.398688,0.252530,1.730167,0.002387,5.262723,6.912590
6,0,0.023238,3.137643,0.046276,0.002356,3.177587,9.737003,10.019434,31.098504,0.175278,1.273065,0.002696,7.720955,8.373232
7,0,0.018905,3.568917,0.064691,0.003819,3.613543,12.960378,8.055854,30.135058,0.194109,1.605873,0.002432,5.089183,5.806180
8,0,0.016700,3.834601,0.059936,0.003974,3.893330,15.159226,5.204865,30.674373,0.213265,1.616271,0.002920,5.992533,7.699326
9,0,0.018591,3.050950,0.038396,0.003150,3.090747,11.700088,9.794835,30.978500,0.200905,1.435155,0.002789,6.037166,6.476168
10,0,0.022620,4.257627,0.045743,0.004765,4.307754,14.418422,4.662632,30.220682,0.200045,2.270486,0.002789,6.592759,7.327659
11,0,0.020297,3.744138,0.049701,0.004479,3.793411,13.460681,5.002701,30.549002,0.240113,2.272760,0.002833,7.784229,8.244664
12,0,0.015526,4.060203,0.086618,0.009941,4.106849,10.052711,10.135081,30.904765,0.215524,2.314672,0.002992,6.149646,8.177298
13,0,0.017061,4.243139,0.497585,0.002219,4.300848,14.954259,4.656107,30.687300,0.254087,2.709058,0.002746,6.291741,8.450897
14,0,0.020439,3.592223,0.079386,0.002737,3.632646,15.591780,5.161827,30.357442,0.200382,2.057998,0.003014,5.584441,6.965322
15,0,0.016885,3.593635,0.251219,0.005362,3.710076,15.178385,5.640983,30.959191,0.212319,2.156393,0.003279,6.018003,6.853149
16,0,0.016992,3.643292,0.308327,0.002330,3.953468,15.116186,5.285860,30.561648,0.176198,2.348815,0.002621,6.007449,6.624298
17,0,0.017286,6.395769,0.056209,0.002721,6.439197,11.793239,6.993072,31.132779,0.198433,5.168390,0.002532,5.491147,9.437578
18,0,0.017242,8.708230,4.836095,0.004453,8.750912,11.961976,15.264931,46.229454,0.173792,7.314210,0.002969,9.718744,13.525970
19,0,0.018290,3.220121,0.045030,0.003501,3.261322,11.826518,6.218747,30.087675,0.172390,1.924184,0.002947,8.439129,9.353211
20,0,0.018472,4.239740,0.052390,0.003344,4.272906,10.752977,8.158187,30.923897,0.218178,2.310609,0.002871,7.394702,9.328656
