metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,1614,0.000000,0.000000,0.000000,0.000000
ants_advance,1614,7969.041198,4.937448,0.409942,19.471320
evaporation,1614,6644.906024,4.117042,0.467639,15.110710
update,1614,11.188664,0.006932,0.001776,0.076976
advance_total,1614,10648.681169,6.597696,3.147887,19.898522
render,1614,0.000000,0.000000,0.000000,0.000000
blit,1614,0.000000,0.000000,0.000000,0.000000
iteration_total,1614,18253.396940,11.309416,5.468683,38.324394
mpi_halo_exchange,1614,231.133678,0.143206,0.013796,15.166128
mpi_migration,1614,9282.508167,5.751244,1.059999,28.603464
mpi_food_allreduce,1614,7411.117783,4.591771,0.003904,15.754421
mpi_render_comm,1614,0.000000,0.000000,0.000000,0.000000
mpi_total_comm,1614,16270.376015,10.080778,1.595032,32.920439

meta_key,meta_value
total_iterations,1614
measured_iterations,1614
final_food_quantity,1
first_food_iteration,1604
