metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,716,12.359349,0.017262,0.006980,0.905833
ants_advance,716,1838.003174,2.567044,1.770189,8.817090
evaporation,716,55.045428,0.076879,0.039102,6.984881
update,716,2.706326,0.003780,0.001793,0.210344
advance_total,716,1881.277006,2.627482,1.827872,8.868859
render,716,20159.712088,28.156022,5.436920,100.798061
blit,716,6828.349769,9.536801,0.393870,16.890275
iteration_total,716,33490.499298,46.774440,16.722524,123.031599
mpi_halo_exchange,716,144.056599,0.201196,0.115710,1.021795
mpi_migration,716,1095.947686,1.530653,0.319592,7.657279
mpi_food_allreduce,716,1.738633,0.002428,0.001211,0.040563
mpi_render_comm,716,4398.098009,6.142595,4.257457,18.542513
mpi_total_comm,716,5177.787219,7.231546,4.686328,24.813431

meta_key,meta_value
total_iterations,716
measured_iterations,716
final_food_quantity,4
first_food_iteration,706
