metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,716,12.911077,0.018032,0.006101,1.043422
ants_advance,716,3801.994831,5.310049,3.657710,12.132549
evaporation,716,46.713896,0.065243,0.036162,0.354766
update,716,1.068096,0.001492,0.000762,0.065960
advance_total,716,3843.774058,5.368400,3.718132,12.223033
render,716,19512.317518,27.251840,8.756848,87.369887
blit,716,5781.043595,8.074083,0.366326,17.033496
iteration_total,716,33468.258309,46.743378,29.177100,109.396059
mpi_halo_exchange,716,152.659132,0.213211,0.155990,1.223214
mpi_migration,716,1373.921340,1.918885,0.102541,8.633161
mpi_food_allreduce,716,1.631860,0.002279,0.001043,0.140605
mpi_render_comm,716,4074.278817,5.690334,3.960089,11.446437
mpi_total_comm,716,5189.176179,7.247453,4.230511,15.645779

meta_key,meta_value
total_iterations,716
measured_iterations,716
final_food_quantity,10
first_food_iteration,706
