iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,5.189306,16.948467,7.597029,0.018982,19.131228,24.383480,15.111670,82.248709,5.299235,19.797177,0.002797,17.603595,34.046904
2,0,0.019472,14.291896,13.897546,0.014015,28.060924,8.160650,2.687314,44.867034,0.232508,13.851261,0.001638,12.825399,25.834013
3,0,0.018267,16.305363,11.697212,0.016600,24.032033,4.287168,9.116065,47.037444,1.063950,16.771878,0.001860,12.739603,25.917742
4,0,0.024503,14.190207,7.636886,0.004330,21.813538,5.477674,6.088712,45.835958,0.222352,13.814216,0.002204,15.442493,26.057393
5,0,0.017951,13.465271,6.643679,0.009361,20.112382,9.763166,10.111032,46.112608,0.139761,8.772156,0.002034,9.912081,15.277298
6,0,0.022342,14.071179,7.706797,0.024927,21.781482,6.530496,13.542288,46.439589,0.278796,13.733816,0.002165,11.864462,19.248826
7,0,0.020710,7.777159,7.712990,0.019785,15.417517,10.599087,15.446141,46.303049,0.245826,7.467156,0.002411,12.146122,19.720851
8,0,0.020471,13.397675,7.577752,0.012933,20.947347,4.806484,9.631780,45.563023,0.192673,13.006829,0.002134,10.496116,20.073025
9,0,0.024685,7.717257,7.701385,0.037351,15.401172,6.816507,13.700968,46.640828,0.244280,7.266054,0.002744,12.549706,19.930232
10,0,0.023536,14.409352,6.342698,0.006552,19.325175,4.809472,4.674868,45.035802,0.211332,14.025946,0.002771,18.483902,27.490133
11,0,0.013057,15.865671,7.815950,0.019908,23.701529,4.607270,8.102499,46.273645,0.191559,15.528367,0.002747,9.596287,22.315638
12,0,0.018028,13.710157,15.646593,0.018714,29.362753,5.185479,5.180728,46.347837,0.180612,13.372900,0.002577,20.145429,33.671676
13,0,0.012593,7.329805,7.672026,0.008646,15.007732,9.004788,2.612397,30.618402,0.195023,7.023960,0.002031,11.347388,18.488423
14,0,0.013307,12.810807,7.547021,0.066281,20.342605,5.797287,13.207192,46.514615,0.185828,12.376650,0.002421,9.867304,22.377869
15,0,0.022343,14.088493,7.667226,0.008746,21.751194,4.233620,6.574179,46.013540,0.218911,13.649725,0.002657,13.133407,21.917956
16,0,0.012536,8.077965,7.650848,0.003208,15.722309,10.762839,15.635346,46.070617,0.191703,7.827284,0.002424,11.278912,19.207855
17,0,0.017363,14.631750,7.159602,0.011449,20.961352,3.848152,10.022109,46.380228,0.227673,14.288974,0.001816,14.731228,26.205873
18,0,0.021673,11.499725,11.555453,0.018219,23.060470,6.578822,12.118201,46.318368,0.307789,11.163751,0.002390,12.711394,20.547269
19,0,0.025774,12.870590,7.819029,0.022398,20.698093,4.430140,10.041807,46.233406,0.254224,12.622052,0.001652,15.935327,28.679356
20,0,0.017867,14.840981,15.410128,0.007433,30.256108,6.046695,3.077312,46.229459,0.140335,14.460875,0.003205,14.327158,23.899305
21,0,0.016452,12.542602,7.616920,0.019632,20.142410,8.474881,13.644503,46.513482,0.228510,12.177990,0.002699,8.617697,21.022545
22,0,0.022295,12.856242,5.633305,0.010397,14.507598,7.280351,5.598929,46.294806,0.242239,13.373161,0.002388,12.377333,25.803786
23,0,0.017134,11.839017,10.859351,0.020781,22.719149,4.562108,7.611891,45.202392,0.198826,11.838879,0.002544,17.405431,23.785393
24,0,0.017369,14.363891,7.911027,0.016231,18.194463,3.618910,12.026948,61.018835,0.205680,13.996798,0.001807,22.851789,28.456459
25,0,0.018591,13.350295,7.678412,0.012834,21.024161,10.103890,10.688407,46.687065,0.189070,12.944682,0.001984,8.574647,14.474829
26,0,0.021879,13.263532,10.912359,0.012911,13.301998,6.043301,6.636446,45.658773,0.219746,12.984606,0.002620,19.303226,21.972367
27,0,0.011028,13.044181,7.629247,0.019159,20.554833,5.850129,8.774345,46.527379,0.184066,12.656748,0.003263,11.026946,19.434077
28,0,0.017755,14.338037,7.689221,0.014053,22.030829,5.717825,14.039642,46.108683,0.197900,13.876634,0.002077,11.657204,19.139615
29,0,0.020391,8.198314,7.706347,0.008483,15.904795,8.901816,16.606973,46.296367,0.172274,7.800895,0.001855,12.243312,20.150961
30,0,0.024411,13.971554,12.794412,0.026414,18.656472,3.514305,5.672839,45.191900,0.219195,13.345540,0.002223,14.244246,20.070590
31,0,0.010338,12.578260,7.746210,0.002829,20.324184,8.007540,13.019260,46.581755,0.205198,12.230878,0.003113,9.046045,21.335179
32,0,0.015772,13.903171,11.809702,0.003571,25.694768,5.316062,9.114005,46.237240,0.196337,13.596976,0.001892,14.669543,27.447780
33,0,0.012124,15.716570,7.736009,0.013806,19.454520,5.707261,7.998063,46.296895,0.118869,11.733642,0.002129,12.896772,20.988183
34,0,0.010735,13.349933,7.701099,0.005300,21.047459,9.443349,11.050909,46.330485,0.205502,12.910324,0.002270,8.910875,17.062769
35,0,0.015025,18.886598,11.755301,0.007939,26.635118,5.036003,2.701054,45.464494,0.189605,18.589192,0.002703,14.671515,33.353247
36,0,0.012008,13.484484,11.356746,0.019601,20.863189,5.820165,5.764514,45.980459,0.183460,12.998364,0.001496,12.890467,22.882715
37,0,0.015394,15.208757,4.750679,0.009500,19.942586,5.008575,7.474806,46.743479,0.378303,14.756515,0.001971,12.952795,25.866021
38,0,0.011603,12.740464,7.846605,0.013978,20.545934,6.671894,14.633059,46.247785,0.182388,12.261017,0.002042,7.812686,15.926222
39,0,0.018084,14.727575,12.824527,0.005810,25.455853,4.423630,0.944522,46.727414,0.223103,14.625282,0.002291,19.779517,24.517937
40,0,0.008506,11.685128,7.888473,0.008766,15.594219,7.542667,7.968395,45.812724,0.185441,11.332328,0.002540,10.672046,17.462720
41,0,0.018135,13.790067,5.658389,0.013129,17.859074,4.797251,5.195522,46.430380,0.195975,19.603010,0.001457,12.141643,30.361156
42,0,0.011935,13.408446,5.749741,0.002331,15.062192,7.716749,13.671030,46.095913,0.185386,12.976003,0.002611,8.144056,15.727510
43,0,0.014000,13.261426,7.629858,0.018001,20.847956,6.041811,13.025255,45.732806,0.185711,12.739591,0.001772,9.861396,15.187858
44,0,0.022848,11.244171,7.928906,0.015612,17.000891,5.120223,10.577519,46.101926,0.250136,12.569171,0.001322,12.096148,23.750775
45,0,0.018700,13.277710,7.654921,0.015625,20.917818,6.570664,10.620804,45.963173,0.242781,12.854652,0.002301,15.105102,15.502885
46,0,0.013281,11.322795,15.484424,0.017722,26.821932,4.218295,10.063940,45.773517,0.188774,11.067335,0.001932,16.790577,27.417834
47,0,0.012646,13.494050,7.849728,0.015088,21.200299,8.493841,8.935684,46.065987,0.199434,13.066341,0.002036,8.215484,21.364300
48,0,0.010095,9.046561,6.029211,0.016359,15.057655,5.187077,12.098759,45.959309,0.217159,8.635294,0.001521,14.248825,17.860042
49,0,0.030242,13.386913,6.818563,0.007047,20.088185,3.979274,3.507811,45.966552,0.212421,12.989896,0.002308,23.914065,28.965892
50,0,0.013423,7.354471,7.588109,0.014281,14.935674,8.395329,15.671807,47.012300,0.205128,7.042382,0.002028,11.533694,18.733481
51,0,0.018398,12.303829,7.609289,0.011750,19.915348,8.352054,11.721559,46.028675,0.197233,11.854744,0.002000,9.676277,17.726443
52,0,0.016960,14.108291,7.790729,0.015930,21.900494,7.482563,8.962350,45.273441,0.205757,13.683298,0.002226,9.634331,17.590901
53,0,0.014464,12.905526,7.602488,0.040152,20.541434,10.290355,11.605573,46.534862,0.210271,12.597188,0.001362,11.318605,17.855804
54,0,0.018457,14.403452,7.562832,0.018054,21.970060,3.379455,9.889370,46.295050,0.223931,14.171833,0.001582,15.718364,30.021856
55,0,0.013878,9.279159,6.415963,0.007895,14.388702,8.907564,15.573672,45.846125,0.191556,8.831290,0.002075,8.840297,14.365679
56,0,0.018074,14.216071,7.616672,0.008174,21.771266,5.248592,3.877436,46.442431,0.194846,13.938683,0.002052,16.287728,26.829734
57,0,0.009686,7.679519,7.701609,0.014246,15.377445,7.579701,0.886483,30.467646,0.172548,7.314085,0.002121,14.020629,21.488101
58,0,0.008463,13.144273,7.681666,0.018954,20.816266,7.275407,8.740799,45.975153,0.190584,12.719346,0.002616,8.848133,18.978685
59,0,0.019162,15.250250,7.509481,0.015828,22.645410,3.861727,10.634305,46.383111,0.198041,14.781596,0.001675,9.731519,17.152371
