metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,2022,42.882843,0.021208,0.006986,1.045925
ants_advance,2022,1551.801461,0.767459,0.508166,5.051067
evaporation,2022,185.568474,0.091775,0.054739,8.992359
update,2022,7.292773,0.003607,0.001506,0.160140
advance_total,2022,1736.672469,0.858888,0.585987,11.715821
render,2022,22150.269093,10.954634,5.003427,70.827035
blit,2022,28425.321778,14.058023,0.252477,16.869420
iteration_total,2022,62218.424011,30.770734,14.939762,100.409915
mpi_halo_exchange,2022,609.147042,0.301260,0.256034,2.443053
mpi_migration,2022,327.029308,0.161736,0.013447,4.077273
mpi_food_allreduce,2022,4.141664,0.002048,0.001001,0.044374
mpi_render_comm,2022,9202.495226,4.551185,3.681593,36.277355
mpi_total_comm,2022,10076.955276,4.983657,4.004012,36.688878

meta_key,meta_value
total_iterations,2022
measured_iterations,2022
final_food_quantity,1
first_food_iteration,2012
