metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,2022,44.099810,0.021810,0.006183,10.048884
ants_advance,2022,27308.583371,13.505729,5.618486,24.827073
evaporation,2022,17802.634495,8.804468,3.761675,17.159296
update,2022,24.782426,0.012256,0.001691,0.552090
advance_total,2022,40729.911402,20.143379,7.868802,36.129533
render,2022,25153.626106,12.439973,3.010360,40.931876
blit,2022,16685.932625,8.252192,0.377536,17.033689
iteration_total,2022,104330.610040,51.597730,29.598321,83.538224
mpi_halo_exchange,2022,448.279235,0.221701,0.131928,10.209646
mpi_migration,2022,27666.219439,13.682601,4.033866,25.783465
mpi_food_allreduce,2022,19.419101,0.009604,0.001074,4.030334
mpi_render_comm,2022,26061.174063,12.888810,6.357525,25.270983
mpi_total_comm,2022,47587.799527,23.535015,10.184225,41.698343

meta_key,meta_value
total_iterations,2022
measured_iterations,2022
final_food_quantity,1
first_food_iteration,2012
